epoch	utc	load1	load5	load15
1789660770	2026-09-17T15:59:30Z	10.60	24.77	41.51
1789660780	2026-09-17T15:59:40Z	12.06	24.61	41.26
1789660790	2026-09-17T15:59:50Z	12.17	24.23	40.93
1789660800	2026-09-17T16:00:00Z	12.63	23.93	40.62
1789660810	2026-09-17T16:00:10Z	14.22	23.89	40.42
1789660820	2026-09-17T16:00:20Z	14.12	23.57	40.11
1789660830	2026-09-17T16:00:30Z	15.26	23.50	39.89
1789660840	2026-09-17T16:00:40Z	14.31	23.02	39.53
1789660850	2026-09-17T16:00:50Z	12.90	22.43	39.12
1789660860	2026-09-17T16:01:00Z	13.66	22.28	38.88
1789660870	2026-09-17T16:01:10Z	12.63	21.78	38.50
1789660880	2026-09-17T16:01:20Z	12.04	21.35	38.16
1789660890	2026-09-17T16:01:30Z	11.45	20.91	37.81
1789660900	2026-09-17T16:01:40Z	11.62	20.64	37.51
1789660910	2026-09-17T16:01:50Z	11.25	20.27	37.18
1789660920	2026-09-17T16:02:00Z	10.29	19.76	36.80
1789660930	2026-09-17T16:02:10Z	10.29	19.44	36.49
1789660940	2026-09-17T16:02:20Z	10.54	19.20	36.20
1789660950	2026-09-17T16:02:30Z	10.35	18.86	35.89
1789660960	2026-09-17T16:02:40Z	10.56	18.64	35.61
1789660970	2026-09-17T16:02:50Z	11.29	18.53	35.37
1789660980	2026-09-17T16:03:00Z	11.70	18.37	35.12
1789660990	2026-09-17T16:03:10Z	12.18	18.25	34.88
1789661000	2026-09-17T16:03:20Z	11.97	18.01	34.60
1789661010	2026-09-17T16:03:30Z	10.74	17.55	34.24
1789661020	2026-09-17T16:03:40Z	11.72	17.53	34.04
1789661030	2026-09-17T16:03:50Z	12.94	17.60	33.87
1789661040	2026-09-17T16:04:00Z	12.42	17.33	33.58
1789661051	2026-09-17T16:04:11Z	11.33	16.94	33.25
1789661061	2026-09-17T16:04:21Z	10.78	16.63	32.95
1789661071	2026-09-17T16:04:31Z	12.38	16.79	32.82
1789661081	2026-09-17T16:04:41Z	12.34	16.63	32.58
1789661091	2026-09-17T16:04:51Z	12.59	16.53	32.35
1789661101	2026-09-17T16:05:01Z	13.32	16.56	32.18
1789661111	2026-09-17T16:05:11Z	14.50	16.71	32.05
1789661121	2026-09-17T16:05:21Z	14.22	16.58	31.82
1789661131	2026-09-17T16:05:31Z	14.60	16.59	31.65
1789661141	2026-09-17T16:05:41Z	14.16	16.43	31.41
1789661151	2026-09-17T16:05:51Z	14.91	16.51	31.27
1789661161	2026-09-17T16:06:01Z	14.15	16.30	31.02
1789661171	2026-09-17T16:06:11Z	15.53	16.52	30.93
1789661181	2026-09-17T16:06:21Z	16.13	16.61	30.79
1789661191	2026-09-17T16:06:31Z	17.19	16.82	30.70
1789661201	2026-09-17T16:06:41Z	15.45	16.47	30.41
1789661211	2026-09-17T16:06:51Z	16.01	16.55	30.28
1789661221	2026-09-17T16:07:01Z	15.83	16.50	30.10
