epoch	utc	load1	load5	load15
1789660761	2026-09-17T15:59:21Z	0.68	1.03	1.28
1789660766	2026-09-17T15:59:26Z	0.71	1.03	1.28
1789660771	2026-09-17T15:59:31Z	0.65	1.01	1.27
1789660776	2026-09-17T15:59:36Z	0.60	1.00	1.26
1789660781	2026-09-17T15:59:41Z	0.63	1.00	1.26
1789660786	2026-09-17T15:59:46Z	0.58	0.98	1.25
1789660791	2026-09-17T15:59:51Z	0.69	1.00	1.26
1789660796	2026-09-17T15:59:56Z	0.64	0.98	1.25
1789660801	2026-09-17T16:00:01Z	0.59	0.96	1.24
1789660806	2026-09-17T16:00:06Z	0.70	0.98	1.25
1789660811	2026-09-17T16:00:11Z	0.80	1.00	1.25
1789660816	2026-09-17T16:00:16Z	0.74	0.98	1.25
1789660821	2026-09-17T16:00:21Z	0.84	1.00	1.25
1789660826	2026-09-17T16:00:26Z	0.85	1.00	1.25
1789660831	2026-09-17T16:00:31Z	0.79	0.98	1.24
1789660836	2026-09-17T16:00:36Z	0.88	1.00	1.25
1789660841	2026-09-17T16:00:41Z	0.89	1.00	1.25
1789660846	2026-09-17T16:00:46Z	0.82	0.98	1.24
1789660851	2026-09-17T16:00:51Z	0.92	1.00	1.24
1789660856	2026-09-17T16:00:56Z	1.00	1.02	1.25
1789660861	2026-09-17T16:01:01Z	0.92	1.00	1.24
1789660866	2026-09-17T16:01:06Z	0.93	1.00	1.24
1789660871	2026-09-17T16:01:11Z	0.93	1.00	1.24
1789660876	2026-09-17T16:01:16Z	0.94	1.00	1.24
1789660881	2026-09-17T16:01:21Z	0.86	0.98	1.23
1789660886	2026-09-17T16:01:26Z	0.95	1.00	1.23
1789660891	2026-09-17T16:01:31Z	1.04	1.02	1.24
1789660895	2026-09-17T16:01:35Z	1.04	1.02	1.24
1789660900	2026-09-17T16:01:40Z	1.11	1.03	1.24
1789660905	2026-09-17T16:01:45Z	1.02	1.02	1.23
1789660910	2026-09-17T16:01:50Z	1.02	1.02	1.23
1789660915	2026-09-17T16:01:55Z	0.94	1.00	1.23
1789660921	2026-09-17T16:02:01Z	0.94	1.00	1.22
1789660925	2026-09-17T16:02:05Z	0.87	0.98	1.22
1789660930	2026-09-17T16:02:10Z	0.96	1.00	1.22
1789660935	2026-09-17T16:02:15Z	0.88	0.98	1.22
1789660940	2026-09-17T16:02:20Z	0.81	0.97	1.21
1789660945	2026-09-17T16:02:25Z	0.75	0.95	1.20
1789660950	2026-09-17T16:02:30Z	0.77	0.95	1.20
1789660955	2026-09-17T16:02:35Z	0.87	0.97	1.20
1789660960	2026-09-17T16:02:40Z	0.96	0.99	1.21
1789660965	2026-09-17T16:02:45Z	0.96	0.99	1.21
1789660970	2026-09-17T16:02:50Z	0.88	0.97	1.20
1789660975	2026-09-17T16:02:55Z	0.89	0.97	1.20
1789660980	2026-09-17T16:03:00Z	0.90	0.97	1.20
1789660985	2026-09-17T16:03:05Z	0.91	0.97	1.20
1789660990	2026-09-17T16:03:10Z	0.92	0.97	1.19
1789660995	2026-09-17T16:03:15Z	0.92	0.97	1.19
1789661000	2026-09-17T16:03:20Z	0.93	0.97	1.19
1789661005	2026-09-17T16:03:25Z	0.86	0.96	1.18
1789661010	2026-09-17T16:03:30Z	0.79	0.94	1.18
1789661015	2026-09-17T16:03:35Z	0.80	0.94	1.18
1789661020	2026-09-17T16:03:40Z	0.74	0.93	1.17
1789661025	2026-09-17T16:03:45Z	0.68	0.91	1.16
1789661030	2026-09-17T16:03:50Z	0.71	0.91	1.16
1789661035	2026-09-17T16:03:55Z	0.73	0.91	1.16
1789661040	2026-09-17T16:04:00Z	0.83	0.93	1.17
1789661045	2026-09-17T16:04:05Z	0.77	0.92	1.16
1789661050	2026-09-17T16:04:10Z	0.86	0.93	1.17
1789661055	2026-09-17T16:04:15Z	0.80	0.92	1.16
1789661060	2026-09-17T16:04:20Z	0.73	0.90	1.15
1789661065	2026-09-17T16:04:25Z	0.67	0.89	1.15
1789661070	2026-09-17T16:04:30Z	0.94	0.94	1.16
1789661075	2026-09-17T16:04:35Z	1.18	0.99	1.18
1789661080	2026-09-17T16:04:40Z	1.09	0.97	1.17
1789661085	2026-09-17T16:04:45Z	1.16	0.99	1.18
1789661090	2026-09-17T16:04:50Z	1.39	1.04	1.19
1789661095	2026-09-17T16:04:55Z	1.60	1.09	1.21
1789661100	2026-09-17T16:05:00Z	1.63	1.11	1.21
1789661105	2026-09-17T16:05:05Z	1.50	1.09	1.20
1789661110	2026-09-17T16:05:10Z	1.70	1.14	1.22
1789661115	2026-09-17T16:05:15Z	1.73	1.15	1.22
1789661120	2026-09-17T16:05:20Z	1.75	1.16	1.23
1789661125	2026-09-17T16:05:25Z	1.77	1.18	1.23
1789661130	2026-09-17T16:05:30Z	1.87	1.21	1.24
1789661135	2026-09-17T16:05:35Z	2.04	1.26	1.26
1789661140	2026-09-17T16:05:40Z	1.95	1.25	1.26
1789661145	2026-09-17T16:05:45Z	1.88	1.25	1.26
1789661150	2026-09-17T16:05:50Z	1.73	1.23	1.25
1789661155	2026-09-17T16:05:55Z	1.83	1.26	1.26
1789661160	2026-09-17T16:06:00Z	1.92	1.29	1.27
1789661165	2026-09-17T16:06:05Z	2.09	1.33	1.28
1789661170	2026-09-17T16:06:10Z	2.16	1.36	1.29
1789661175	2026-09-17T16:06:15Z	2.31	1.40	1.31
1789661180	2026-09-17T16:06:20Z	2.45	1.45	1.32
1789661185	2026-09-17T16:06:25Z	2.49	1.47	1.33
1789661190	2026-09-17T16:06:30Z	2.37	1.46	1.33
1789661194	2026-09-17T16:06:34Z	2.50	1.51	1.34
1789661199	2026-09-17T16:06:39Z	2.62	1.55	1.36
1789661204	2026-09-17T16:06:44Z	2.57	1.56	1.36
1789661209	2026-09-17T16:06:49Z	2.61	1.58	1.37
1789661214	2026-09-17T16:06:54Z	2.64	1.60	1.38
1789661219	2026-09-17T16:06:59Z	2.67	1.63	1.39
1789661224	2026-09-17T16:07:04Z	2.69	1.65	1.40
1789661229	2026-09-17T16:07:09Z	2.72	1.67	1.41
1789661234	2026-09-17T16:07:14Z	2.58	1.66	1.40
1789661239	2026-09-17T16:07:19Z	2.37	1.63	1.40
1789661244	2026-09-17T16:07:24Z	2.26	1.62	1.39
1789661249	2026-09-17T16:07:29Z	2.08	1.60	1.39
1789661254	2026-09-17T16:07:34Z	1.92	1.57	1.38
1789661259	2026-09-17T16:07:39Z	1.76	1.54	1.37
1789661264	2026-09-17T16:07:44Z	1.62	1.52	1.36
1789661269	2026-09-17T16:07:49Z	1.49	1.49	1.36
1789661274	2026-09-17T16:07:54Z	1.37	1.47	1.35
1789661279	2026-09-17T16:07:59Z	1.26	1.44	1.34
1789661284	2026-09-17T16:08:04Z	1.16	1.42	1.33
1789661289	2026-09-17T16:08:09Z	1.07	1.39	1.33
1789661294	2026-09-17T16:08:14Z	0.98	1.37	1.32
1789661299	2026-09-17T16:08:19Z	0.90	1.35	1.31
1789661304	2026-09-17T16:08:24Z	0.83	1.32	1.30
1789661309	2026-09-17T16:08:29Z	0.76	1.30	1.30
1789661314	2026-09-17T16:08:34Z	0.70	1.28	1.29
1789661319	2026-09-17T16:08:39Z	0.81	1.29	1.29
1789661324	2026-09-17T16:08:44Z	0.90	1.30	1.30
1789661329	2026-09-17T16:08:49Z	0.99	1.32	1.30
1789661334	2026-09-17T16:08:54Z	1.07	1.33	1.31
1789661339	2026-09-17T16:08:59Z	1.31	1.37	1.32
1789661344	2026-09-17T16:09:04Z	1.36	1.38	1.32
1789661349	2026-09-17T16:09:09Z	1.25	1.36	1.32
1789661354	2026-09-17T16:09:14Z	1.23	1.35	1.31
1789661359	2026-09-17T16:09:19Z	1.13	1.33	1.31
1789661364	2026-09-17T16:09:24Z	1.20	1.34	1.31
1789661369	2026-09-17T16:09:29Z	1.35	1.37	1.32
1789661374	2026-09-17T16:09:34Z	1.40	1.38	1.32
1789661379	2026-09-17T16:09:39Z	1.45	1.39	1.33
1789661384	2026-09-17T16:09:44Z	1.33	1.37	1.32
1789661389	2026-09-17T16:09:49Z	1.39	1.38	1.32
1789661394	2026-09-17T16:09:54Z	1.35	1.37	1.32
1789661399	2026-09-17T16:09:59Z	1.25	1.35	1.32
1789661404	2026-09-17T16:10:04Z	1.31	1.36	1.32
1789661409	2026-09-17T16:10:09Z	1.28	1.35	1.32
1789661414	2026-09-17T16:10:14Z	1.18	1.33	1.31
1789661419	2026-09-17T16:10:19Z	1.08	1.31	1.30
1789661424	2026-09-17T16:10:24Z	1.00	1.29	1.30
1789661429	2026-09-17T16:10:29Z	1.00	1.28	1.29
1789661434	2026-09-17T16:10:34Z	1.00	1.28	1.29
1789661439	2026-09-17T16:10:39Z	0.92	1.25	1.28
1789661444	2026-09-17T16:10:44Z	0.84	1.23	1.28
1789661449	2026-09-17T16:10:49Z	0.78	1.21	1.27
1789661454	2026-09-17T16:10:54Z	0.71	1.19	1.26
1789661459	2026-09-17T16:10:59Z	0.66	1.17	1.26
1789661464	2026-09-17T16:11:04Z	0.60	1.15	1.25
1789661469	2026-09-17T16:11:09Z	0.55	1.13	1.24
1789661474	2026-09-17T16:11:14Z	0.51	1.11	1.24
1789661479	2026-09-17T16:11:19Z	0.47	1.10	1.23
1789661484	2026-09-17T16:11:24Z	0.59	1.11	1.23
1789661489	2026-09-17T16:11:29Z	0.54	1.09	1.23
1789661494	2026-09-17T16:11:34Z	0.58	1.09	1.22
1789661499	2026-09-17T16:11:39Z	0.61	1.09	1.22
1789661504	2026-09-17T16:11:44Z	0.57	1.07	1.22
1789661509	2026-09-17T16:11:49Z	0.52	1.05	1.21
1789661514	2026-09-17T16:11:54Z	0.56	1.05	1.21
1789661519	2026-09-17T16:11:59Z	0.59	1.05	1.21
1789661524	2026-09-17T16:12:04Z	0.63	1.05	1.20
1789661529	2026-09-17T16:12:09Z	0.66	1.05	1.20
1789661534	2026-09-17T16:12:14Z	0.60	1.03	1.20
1789661539	2026-09-17T16:12:19Z	0.56	1.01	1.19
1789661544	2026-09-17T16:12:24Z	0.59	1.01	1.19
1789661549	2026-09-17T16:12:29Z	0.70	1.03	1.19
1789661553	2026-09-17T16:12:33Z	0.81	1.05	1.20
1789661558	2026-09-17T16:12:38Z	0.74	1.03	1.19
1789661563	2026-09-17T16:12:43Z	0.84	1.04	1.19
1789661568	2026-09-17T16:12:48Z	0.94	1.06	1.20
1789661573	2026-09-17T16:12:53Z	1.02	1.08	1.20
1789661578	2026-09-17T16:12:58Z	1.02	1.08	1.20
1789661583	2026-09-17T16:13:03Z	0.94	1.06	1.20
1789661588	2026-09-17T16:13:08Z	0.86	1.04	1.19
