epoch	utc	load1	load5	load15
1789697479	2026-09-18T02:11:19Z	5.67	19.11	22.77
1789697484	2026-09-18T02:11:24Z	5.45	18.84	22.66
1789697489	2026-09-18T02:11:29Z	5.17	18.56	22.53
1789697494	2026-09-18T02:11:34Z	4.84	18.27	22.41
1789697499	2026-09-18T02:11:39Z	4.77	18.03	22.30
1789697504	2026-09-18T02:11:44Z	4.87	17.83	22.20
1789697509	2026-09-18T02:11:49Z	5.04	17.65	22.12
1789697514	2026-09-18T02:11:54Z	5.12	17.46	22.02
1789697519	2026-09-18T02:11:59Z	5.11	17.25	21.92
1789697524	2026-09-18T02:12:04Z	4.86	17.00	21.80
1789697529	2026-09-18T02:12:09Z	4.55	16.73	21.68
1789697534	2026-09-18T02:12:14Z	4.27	16.47	21.56
1789697539	2026-09-18T02:12:19Z	4.08	16.23	21.44
1789697544	2026-09-18T02:12:24Z	4.00	16.01	21.34
1789697549	2026-09-18T02:12:29Z	3.68	15.74	21.21
1789697554	2026-09-18T02:12:34Z	3.46	15.50	21.09
1789697559	2026-09-18T02:12:39Z	4.47	15.51	21.06
1789697564	2026-09-18T02:12:44Z	9.31	16.33	21.32
1789697569	2026-09-18T02:12:49Z	10.09	16.37	21.31
1789697574	2026-09-18T02:12:54Z	10.40	16.33	21.26
1789697579	2026-09-18T02:12:59Z	12.05	16.58	21.32
1789697584	2026-09-18T02:13:04Z	11.89	16.47	21.25
1789697589	2026-09-18T02:13:09Z	11.74	16.36	21.19
1789697594	2026-09-18T02:13:14Z	11.36	16.20	21.10
1789697599	2026-09-18T02:13:19Z	11.41	16.13	21.05
1789697604	2026-09-18T02:13:24Z	13.14	16.41	21.12
1789697610	2026-09-18T02:13:30Z	12.40	16.21	21.02
1789697615	2026-09-18T02:13:35Z	11.81	16.02	20.92
1789697620	2026-09-18T02:13:40Z	11.59	15.90	20.85
1789697625	2026-09-18T02:13:45Z	11.06	15.72	20.76
1789697630	2026-09-18T02:13:50Z	10.65	15.56	20.67
1789697635	2026-09-18T02:13:55Z	10.04	15.35	20.57
1789697640	2026-09-18T02:14:00Z	10.60	15.38	20.55
1789697645	2026-09-18T02:14:05Z	10.95	15.37	20.52
1789697650	2026-09-18T02:14:10Z	11.51	15.42	20.50
1789697655	2026-09-18T02:14:15Z	10.83	15.21	20.40
1789697660	2026-09-18T02:14:20Z	10.04	14.97	20.28
1789697665	2026-09-18T02:14:25Z	9.40	14.76	20.18
1789697670	2026-09-18T02:14:30Z	8.89	14.56	20.08
1789697675	2026-09-18T02:14:35Z	8.33	14.35	19.97
1789697680	2026-09-18T02:14:40Z	7.91	14.16	19.87
1789697685	2026-09-18T02:14:45Z	7.43	13.96	19.77
1789697690	2026-09-18T02:14:50Z	7.24	13.81	19.68
1789697695	2026-09-18T02:14:55Z	7.06	13.67	19.59
1789697700	2026-09-18T02:15:00Z	6.73	13.49	19.49
1789697705	2026-09-18T02:15:05Z	6.35	13.30	19.39
1789697710	2026-09-18T02:15:10Z	6.01	13.11	19.29
1789697715	2026-09-18T02:15:15Z	5.77	12.94	19.19
1789697720	2026-09-18T02:15:20Z	5.70	12.81	19.11
1789697725	2026-09-18T02:15:25Z	5.73	12.70	19.03
1789697730	2026-09-18T02:15:30Z	5.51	12.54	18.94
1789697735	2026-09-18T02:15:35Z	5.39	12.39	18.85
1789697740	2026-09-18T02:15:40Z	7.84	12.79	18.95
1789697745	2026-09-18T02:15:45Z	8.73	12.89	18.95
1789697750	2026-09-18T02:15:50Z	10.03	13.09	18.99
1789697755	2026-09-18T02:15:55Z	11.55	13.35	19.04
1789697760	2026-09-18T02:16:00Z	12.31	13.48	19.06
1789697765	2026-09-18T02:16:05Z	13.57	13.72	19.11
1789697771	2026-09-18T02:16:11Z	18.81	14.80	19.46
1789697776	2026-09-18T02:16:16Z	27.72	16.84	20.12
1789697781	2026-09-18T02:16:21Z	33.98	18.32	20.63
1789697786	2026-09-18T02:16:26Z	35.91	18.98	20.85
1789697791	2026-09-18T02:16:31Z	35.51	19.17	20.91
1789697796	2026-09-18T02:16:36Z	38.12	19.98	21.18
1789697801	2026-09-18T02:16:41Z	35.70	19.79	21.10
1789697806	2026-09-18T02:16:46Z	33.33	19.56	21.02
1789697812	2026-09-18T02:16:52Z	31.78	19.46	20.97
1789697817	2026-09-18T02:16:57Z	31.96	19.71	21.05
1789697822	2026-09-18T02:17:02Z	30.20	19.54	20.98
1789697827	2026-09-18T02:17:07Z	28.18	19.30	20.89
1789697832	2026-09-18T02:17:12Z	26.64	19.13	20.82
1789697837	2026-09-18T02:17:17Z	24.91	18.90	20.73
1789697842	2026-09-18T02:17:22Z	23.07	18.62	20.62
1789697847	2026-09-18T02:17:27Z	21.71	18.41	20.53
1789697852	2026-09-18T02:17:32Z	21.33	18.38	20.51
1789697857	2026-09-18T02:17:37Z	20.10	18.18	20.43
1789697862	2026-09-18T02:17:42Z	18.65	17.91	20.32
1789697867	2026-09-18T02:17:47Z	17.32	17.64	20.21
1789697872	2026-09-18T02:17:52Z	16.33	17.43	20.12
1789697877	2026-09-18T02:17:57Z	15.90	17.33	20.07
1789697882	2026-09-18T02:18:02Z	15.03	17.12	19.98
1789697887	2026-09-18T02:18:07Z	15.67	17.22	20.00
1789697892	2026-09-18T02:18:12Z	15.29	17.12	19.94
1789697897	2026-09-18T02:18:17Z	16.31	17.30	19.99
1789697902	2026-09-18T02:18:22Z	16.93	17.41	20.01
1789697907	2026-09-18T02:18:27Z	16.29	17.27	19.95
1789697912	2026-09-18T02:18:32Z	16.11	17.21	19.91
1789697917	2026-09-18T02:18:37Z	18.58	17.71	20.07
1789697922	2026-09-18T02:18:42Z	18.46	17.69	20.05
1789697927	2026-09-18T02:18:47Z	21.30	18.30	20.25
1789697932	2026-09-18T02:18:52Z	25.60	19.24	20.57
1789697937	2026-09-18T02:18:57Z	28.76	20.00	20.83
1789697942	2026-09-18T02:19:02Z	32.22	20.86	21.13
1789697947	2026-09-18T02:19:07Z	38.93	22.44	21.69
1789697953	2026-09-18T02:19:13Z	46.86	24.36	22.37
