epoch	utc	load1	load5	load15
1789700797	2026-09-18T03:06:37Z	1.66	1.84	1.78
1789700802	2026-09-18T03:06:42Z	1.61	1.83	1.77
1789700807	2026-09-18T03:06:47Z	1.64	1.83	1.77
1789700812	2026-09-18T03:06:52Z	1.51	1.80	1.76
1789700817	2026-09-18T03:06:57Z	1.39	1.77	1.75
1789700822	2026-09-18T03:07:02Z	1.27	1.74	1.75
1789700827	2026-09-18T03:07:07Z	1.17	1.71	1.74
1789700832	2026-09-18T03:07:12Z	1.08	1.68	1.73
1789700837	2026-09-18T03:07:17Z	1.07	1.67	1.72
1789700842	2026-09-18T03:07:22Z	0.99	1.64	1.71
1789700847	2026-09-18T03:07:27Z	0.91	1.61	1.70
1789700852	2026-09-18T03:07:32Z	0.99	1.62	1.70
1789700857	2026-09-18T03:07:37Z	0.91	1.59	1.70
1789700862	2026-09-18T03:07:42Z	0.84	1.57	1.69
1789700867	2026-09-18T03:07:47Z	0.77	1.54	1.68
1789700872	2026-09-18T03:07:52Z	0.87	1.55	1.68
1789700877	2026-09-18T03:07:57Z	0.88	1.54	1.68
1789700882	2026-09-18T03:08:02Z	0.81	1.51	1.67
1789700887	2026-09-18T03:08:07Z	0.91	1.52	1.67
1789700892	2026-09-18T03:08:12Z	0.91	1.51	1.66
1789700897	2026-09-18T03:08:17Z	1.00	1.52	1.67
1789700902	2026-09-18T03:08:22Z	0.92	1.50	1.66
1789700907	2026-09-18T03:08:27Z	1.01	1.50	1.66
1789700912	2026-09-18T03:08:32Z	1.01	1.50	1.65
1789700917	2026-09-18T03:08:37Z	1.01	1.49	1.65
1789700922	2026-09-18T03:08:42Z	1.01	1.48	1.65
1789700927	2026-09-18T03:08:47Z	1.00	1.47	1.64
1789700932	2026-09-18T03:08:52Z	0.92	1.45	1.63
1789700937	2026-09-18T03:08:57Z	0.85	1.42	1.62
1789700942	2026-09-18T03:09:02Z	1.02	1.45	1.63
1789700947	2026-09-18T03:09:07Z	1.02	1.44	1.63
1789700952	2026-09-18T03:09:12Z	0.94	1.42	1.62
1789700957	2026-09-18T03:09:17Z	1.02	1.43	1.62
1789700962	2026-09-18T03:09:22Z	1.02	1.42	1.62
1789700967	2026-09-18T03:09:27Z	1.10	1.43	1.62
1789700972	2026-09-18T03:09:32Z	1.09	1.42	1.62
1789700977	2026-09-18T03:09:37Z	1.16	1.43	1.62
1789700982	2026-09-18T03:09:42Z	1.23	1.44	1.62
1789700987	2026-09-18T03:09:47Z	1.13	1.42	1.61
1789700992	2026-09-18T03:09:52Z	1.04	1.39	1.61
1789700997	2026-09-18T03:09:57Z	0.96	1.37	1.60
1789701002	2026-09-18T03:10:02Z	0.88	1.35	1.59
1789701007	2026-09-18T03:10:07Z	0.81	1.32	1.58
1789701012	2026-09-18T03:10:12Z	0.75	1.30	1.57
1789701017	2026-09-18T03:10:17Z	0.69	1.28	1.56
1789701022	2026-09-18T03:10:22Z	0.71	1.27	1.56
1789701027	2026-09-18T03:10:27Z	0.81	1.29	1.56
1789701032	2026-09-18T03:10:32Z	0.91	1.30	1.56
1789701037	2026-09-18T03:10:37Z	0.92	1.29	1.56
1789701042	2026-09-18T03:10:42Z	1.08	1.32	1.57
1789701047	2026-09-18T03:10:47Z	1.08	1.32	1.56
1789701052	2026-09-18T03:10:52Z	1.07	1.31	1.56
1789701057	2026-09-18T03:10:57Z	1.15	1.32	1.56
