epoch	utc	load1	load5	load15
1789703724	2026-09-18T03:55:24Z	1.58	0.80	1.01
1789703729	2026-09-18T03:55:29Z	1.61	0.82	1.02
1789703734	2026-09-18T03:55:34Z	1.56	0.82	1.02
1789703739	2026-09-18T03:55:39Z	1.44	0.81	1.01
1789703744	2026-09-18T03:55:44Z	1.32	0.80	1.00
1789703749	2026-09-18T03:55:49Z	1.30	0.80	1.00
1789703754	2026-09-18T03:55:54Z	1.27	0.80	1.00
1789703759	2026-09-18T03:55:59Z	1.33	0.82	1.01
1789703764	2026-09-18T03:56:04Z	1.46	0.86	1.02
1789703769	2026-09-18T03:56:09Z	1.35	0.84	1.01
1789703774	2026-09-18T03:56:14Z	1.32	0.85	1.01
1789703779	2026-09-18T03:56:19Z	1.29	0.85	1.01
