epoch	utc	load1	load5	load15
1789700002	2026-09-18T02:53:22Z	1.17	1.26	1.54
1789700007	2026-09-18T02:53:27Z	1.16	1.26	1.53
1789700012	2026-09-18T02:53:32Z	1.22	1.27	1.54
1789700017	2026-09-18T02:53:37Z	1.21	1.27	1.53
1789700022	2026-09-18T02:53:42Z	1.19	1.26	1.53
1789700027	2026-09-18T02:53:47Z	1.26	1.27	1.53
1789700032	2026-09-18T02:53:52Z	1.40	1.30	1.54
1789700037	2026-09-18T02:53:57Z	1.36	1.30	1.54
1789700042	2026-09-18T02:54:02Z	1.50	1.33	1.55
1789700047	2026-09-18T02:54:07Z	1.54	1.34	1.55
1789700052	2026-09-18T02:54:12Z	1.65	1.36	1.56
1789700057	2026-09-18T02:54:17Z	1.68	1.38	1.56
1789700062	2026-09-18T02:54:22Z	1.63	1.37	1.56
1789700067	2026-09-18T02:54:27Z	1.74	1.40	1.56
1789700072	2026-09-18T02:54:32Z	1.60	1.37	1.56
1789700077	2026-09-18T02:54:37Z	1.55	1.37	1.55
1789700082	2026-09-18T02:54:42Z	1.42	1.34	1.54
1789700087	2026-09-18T02:54:47Z	1.31	1.32	1.53
1789700092	2026-09-18T02:54:52Z	1.37	1.33	1.54
1789700097	2026-09-18T02:54:57Z	1.98	1.46	1.58
1789700102	2026-09-18T02:55:02Z	2.22	1.52	1.60
1789700107	2026-09-18T02:55:07Z	2.12	1.51	1.59
1789700113	2026-09-18T02:55:13Z	2.03	1.50	1.59
1789700117	2026-09-18T02:55:17Z	1.87	1.48	1.58
1789700123	2026-09-18T02:55:23Z	1.72	1.45	1.57
1789700128	2026-09-18T02:55:28Z	1.66	1.44	1.57
1789700133	2026-09-18T02:55:33Z	1.53	1.42	1.56
1789700138	2026-09-18T02:55:38Z	1.97	1.51	1.59
1789700143	2026-09-18T02:55:43Z	1.97	1.52	1.59
1789700148	2026-09-18T02:55:48Z	1.97	1.53	1.59
1789700153	2026-09-18T02:55:53Z	1.97	1.54	1.60
1789700158	2026-09-18T02:55:58Z	1.98	1.54	1.60
1789700163	2026-09-18T02:56:03Z	2.06	1.57	1.61
1789700168	2026-09-18T02:56:08Z	2.05	1.58	1.61
1789700173	2026-09-18T02:56:13Z	1.97	1.57	1.61
1789700178	2026-09-18T02:56:18Z	1.89	1.56	1.60
1789700183	2026-09-18T02:56:23Z	1.90	1.56	1.60
1789700188	2026-09-18T02:56:28Z	1.83	1.56	1.60
1789700193	2026-09-18T02:56:33Z	1.76	1.55	1.60
1789700198	2026-09-18T02:56:38Z	1.78	1.55	1.60
1789700203	2026-09-18T02:56:43Z	1.80	1.56	1.60
1789700208	2026-09-18T02:56:48Z	1.89	1.59	1.61
1789700213	2026-09-18T02:56:53Z	1.98	1.61	1.62
1789700218	2026-09-18T02:56:58Z	1.90	1.60	1.62
1789700223	2026-09-18T02:57:03Z	1.83	1.59	1.61
1789700228	2026-09-18T02:57:08Z	1.85	1.60	1.61
1789700233	2026-09-18T02:57:13Z	1.94	1.62	1.62
1789700238	2026-09-18T02:57:18Z	1.94	1.63	1.62
1789700243	2026-09-18T02:57:23Z	2.11	1.66	1.64
1789700248	2026-09-18T02:57:28Z	2.10	1.67	1.64
1789700253	2026-09-18T02:57:33Z	2.09	1.68	1.64
1789700258	2026-09-18T02:57:38Z	2.00	1.66	1.64
1789700263	2026-09-18T02:57:43Z	2.24	1.72	1.66
1789700268	2026-09-18T02:57:48Z	2.46	1.78	1.67
1789700273	2026-09-18T02:57:53Z	2.67	1.83	1.69
1789700278	2026-09-18T02:57:58Z	3.02	1.91	1.72
1789700283	2026-09-18T02:58:03Z	3.25	1.98	1.74
1789700288	2026-09-18T02:58:08Z	3.55	2.07	1.77
1789700293	2026-09-18T02:58:13Z	3.43	2.06	1.77
1789700298	2026-09-18T02:58:18Z	3.16	2.03	1.76
1789700303	2026-09-18T02:58:23Z	2.98	2.01	1.76
1789700308	2026-09-18T02:58:28Z	2.82	2.00	1.76
1789700313	2026-09-18T02:58:33Z	2.68	1.98	1.75
