epoch	utc	load1	load5	load15
1789703780	2026-09-18T03:56:20Z	1.29	0.85	1.01
1789703785	2026-09-18T03:56:25Z	1.27	0.85	1.01
1789703790	2026-09-18T03:56:30Z	1.25	0.86	1.01
1789703795	2026-09-18T03:56:35Z	1.23	0.86	1.01
1789703800	2026-09-18T03:56:40Z	1.21	0.86	1.01
1789703805	2026-09-18T03:56:45Z	1.19	0.86	1.01
1789703810	2026-09-18T03:56:50Z	1.42	0.91	1.03
1789703815	2026-09-18T03:56:55Z	1.70	0.98	1.05
1789703820	2026-09-18T03:57:00Z	1.73	1.00	1.05
1789703825	2026-09-18T03:57:05Z	1.75	1.02	1.06
1789703830	2026-09-18T03:57:10Z	1.69	1.02	1.06
1789703835	2026-09-18T03:57:15Z	1.63	1.02	1.06
1789703840	2026-09-18T03:57:20Z	1.74	1.05	1.07
1789703845	2026-09-18T03:57:25Z	1.68	1.05	1.07
1789703850	2026-09-18T03:57:30Z	1.79	1.08	1.08
1789703855	2026-09-18T03:57:35Z	1.89	1.11	1.09
1789703860	2026-09-18T03:57:40Z	1.98	1.14	1.10
1789703865	2026-09-18T03:57:45Z	1.90	1.14	1.10
1789703870	2026-09-18T03:57:50Z	1.99	1.17	1.11
1789703875	2026-09-18T03:57:55Z	1.91	1.17	1.11
1789703880	2026-09-18T03:58:00Z	1.83	1.17	1.11
1789703885	2026-09-18T03:58:05Z	1.77	1.16	1.11
1789703890	2026-09-18T03:58:10Z	1.63	1.14	1.10
1789703895	2026-09-18T03:58:15Z	1.66	1.16	1.10
1789703900	2026-09-18T03:58:20Z	1.68	1.17	1.11
1789703905	2026-09-18T03:58:25Z	1.87	1.22	1.12
1789703910	2026-09-18T03:58:30Z	1.96	1.25	1.14
1789703915	2026-09-18T03:58:35Z	1.88	1.25	1.13
1789703920	2026-09-18T03:58:40Z	1.89	1.26	1.14
1789703925	2026-09-18T03:58:45Z	1.90	1.27	1.14
1789703930	2026-09-18T03:58:50Z	1.99	1.30	1.15
1789703935	2026-09-18T03:58:55Z	2.07	1.33	1.16
1789703940	2026-09-18T03:59:00Z	2.06	1.34	1.17
1789703945	2026-09-18T03:59:05Z	2.06	1.35	1.17
1789703950	2026-09-18T03:59:10Z	1.89	1.33	1.17
1789703955	2026-09-18T03:59:15Z	1.90	1.34	1.17
1789703960	2026-09-18T03:59:20Z	2.07	1.38	1.19
1789703965	2026-09-18T03:59:25Z	1.99	1.38	1.19
1789703970	2026-09-18T03:59:30Z	1.91	1.37	1.19
1789703975	2026-09-18T03:59:35Z	1.83	1.37	1.18
1789703980	2026-09-18T03:59:40Z	1.85	1.38	1.19
1789703985	2026-09-18T03:59:45Z	1.94	1.40	1.20
1789703990	2026-09-18T03:59:50Z	1.94	1.41	1.20
1789703995	2026-09-18T03:59:55Z	1.87	1.41	1.20
1789703999	2026-09-18T03:59:59Z	1.72	1.38	1.19
1789704004	2026-09-18T04:00:04Z	1.82	1.41	1.20
1789704009	2026-09-18T04:00:09Z	1.76	1.40	1.20
1789704015	2026-09-18T04:00:15Z	1.70	1.40	1.20
1789704020	2026-09-18T04:00:20Z	1.64	1.39	1.20
1789704025	2026-09-18T04:00:25Z	1.59	1.38	1.20
1789704030	2026-09-18T04:00:30Z	1.54	1.38	1.20
1789704035	2026-09-18T04:00:35Z	1.50	1.37	1.20
1789704039	2026-09-18T04:00:39Z	1.54	1.38	1.20
1789704044	2026-09-18T04:00:44Z	1.57	1.39	1.20
1789704049	2026-09-18T04:00:49Z	1.77	1.43	1.22
1789704054	2026-09-18T04:00:54Z	1.63	1.41	1.21
1789704059	2026-09-18T04:00:59Z	1.58	1.40	1.21
1789704064	2026-09-18T04:01:04Z	1.45	1.38	1.20
1789704070	2026-09-18T04:01:10Z	1.57	1.41	1.21
1789704075	2026-09-18T04:01:15Z	1.53	1.40	1.21
1789704079	2026-09-18T04:01:19Z	1.49	1.39	1.21
1789704084	2026-09-18T04:01:24Z	1.53	1.40	1.22
1789704089	2026-09-18T04:01:29Z	1.40	1.38	1.21
1789704094	2026-09-18T04:01:34Z	1.37	1.37	1.21
1789704099	2026-09-18T04:01:39Z	1.50	1.40	1.22
1789704104	2026-09-18T04:01:44Z	1.46	1.39	1.22
1789704109	2026-09-18T04:01:49Z	1.75	1.45	1.24
1789704114	2026-09-18T04:01:54Z	1.69	1.45	1.23
1789704119	2026-09-18T04:01:59Z	1.63	1.44	1.23
1789704124	2026-09-18T04:02:04Z	1.58	1.43	1.23
1789704129	2026-09-18T04:02:09Z	1.53	1.42	1.23
1789704134	2026-09-18T04:02:14Z	1.49	1.42	1.23
1789704139	2026-09-18T04:02:19Z	1.37	1.39	1.22
1789704144	2026-09-18T04:02:24Z	1.34	1.39	1.22
1789704149	2026-09-18T04:02:29Z	1.31	1.38	1.22
1789704154	2026-09-18T04:02:34Z	1.29	1.37	1.22
1789704159	2026-09-18T04:02:39Z	1.58	1.43	1.24
1789704164	2026-09-18T04:02:44Z	1.86	1.49	1.26
1789704169	2026-09-18T04:02:49Z	1.79	1.49	1.26
1789704174	2026-09-18T04:02:54Z	1.73	1.48	1.26
1789704179	2026-09-18T04:02:59Z	1.67	1.47	1.25
1789704184	2026-09-18T04:03:04Z	1.53	1.44	1.25
1789704189	2026-09-18T04:03:09Z	1.41	1.42	1.24
1789704194	2026-09-18T04:03:14Z	1.38	1.41	1.24
1789704199	2026-09-18T04:03:19Z	1.43	1.42	1.24
1789704204	2026-09-18T04:03:24Z	1.55	1.45	1.25
1789704209	2026-09-18T04:03:29Z	1.51	1.44	1.25
1789704214	2026-09-18T04:03:34Z	1.47	1.43	1.25
1789704219	2026-09-18T04:03:39Z	1.43	1.43	1.25
1789704224	2026-09-18T04:03:44Z	1.48	1.44	1.25
1789704229	2026-09-18T04:03:49Z	1.44	1.43	1.25
1789704234	2026-09-18T04:03:54Z	1.32	1.40	1.24
1789704239	2026-09-18T04:03:59Z	1.22	1.38	1.24
1789704244	2026-09-18T04:04:04Z	1.12	1.36	1.23
1789704249	2026-09-18T04:04:09Z	1.03	1.34	1.22
1789704254	2026-09-18T04:04:14Z	0.95	1.31	1.22
1789704259	2026-09-18T04:04:19Z	0.87	1.29	1.21
1789704264	2026-09-18T04:04:24Z	0.88	1.29	1.21
1789704269	2026-09-18T04:04:29Z	0.89	1.28	1.21
1789704274	2026-09-18T04:04:34Z	1.06	1.31	1.22
1789704279	2026-09-18T04:04:39Z	1.14	1.32	1.22
1789704284	2026-09-18T04:04:44Z	1.12	1.32	1.22
1789704289	2026-09-18T04:04:49Z	1.11	1.31	1.22
1789704294	2026-09-18T04:04:54Z	1.27	1.34	1.23
1789704299	2026-09-18T04:04:59Z	1.56	1.40	1.25
1789704304	2026-09-18T04:05:04Z	1.44	1.38	1.24
1789704309	2026-09-18T04:05:09Z	1.32	1.35	1.24
1789704314	2026-09-18T04:05:14Z	1.22	1.33	1.23
1789704319	2026-09-18T04:05:19Z	1.12	1.31	1.22
1789704324	2026-09-18T04:05:24Z	1.27	1.34	1.23
1789704329	2026-09-18T04:05:29Z	1.33	1.35	1.24
1789704334	2026-09-18T04:05:34Z	1.46	1.38	1.25
1789704339	2026-09-18T04:05:39Z	1.43	1.37	1.24
1789704344	2026-09-18T04:05:44Z	1.39	1.36	1.24
1789704349	2026-09-18T04:05:49Z	1.36	1.36	1.24
1789704354	2026-09-18T04:05:54Z	1.41	1.37	1.25
1789704359	2026-09-18T04:05:59Z	1.30	1.34	1.24
1789704364	2026-09-18T04:06:04Z	1.19	1.32	1.23
1789704369	2026-09-18T04:06:09Z	1.34	1.35	1.24
1789704374	2026-09-18T04:06:14Z	1.47	1.38	1.25
1789704379	2026-09-18T04:06:19Z	1.52	1.39	1.26
1789704384	2026-09-18T04:06:24Z	1.47	1.38	1.25
1789704389	2026-09-18T04:06:29Z	1.44	1.38	1.25
1789704394	2026-09-18T04:06:34Z	1.40	1.37	1.25
1789704399	2026-09-18T04:06:39Z	1.29	1.35	1.24
1789704404	2026-09-18T04:06:44Z	1.26	1.34	1.24
1789704409	2026-09-18T04:06:49Z	1.32	1.35	1.25
1789704414	2026-09-18T04:06:54Z	1.38	1.36	1.25
1789704419	2026-09-18T04:06:59Z	1.43	1.37	1.26
1789704424	2026-09-18T04:07:04Z	1.39	1.37	1.25
1789704429	2026-09-18T04:07:09Z	1.36	1.36	1.25
1789704434	2026-09-18T04:07:14Z	1.33	1.35	1.25
1789704439	2026-09-18T04:07:19Z	1.23	1.33	1.25
1789704444	2026-09-18T04:07:24Z	1.13	1.31	1.24
1789704449	2026-09-18T04:07:29Z	1.20	1.32	1.24
1789704454	2026-09-18T04:07:34Z	1.26	1.33	1.25
1789704459	2026-09-18T04:07:39Z	1.32	1.34	1.25
1789704464	2026-09-18T04:07:44Z	1.38	1.36	1.26
1789704469	2026-09-18T04:07:49Z	1.43	1.37	1.26
1789704474	2026-09-18T04:07:54Z	1.47	1.38	1.26
1789704479	2026-09-18T04:07:59Z	1.43	1.37	1.26
1789704484	2026-09-18T04:08:04Z	1.40	1.36	1.26
1789704489	2026-09-18T04:08:09Z	1.37	1.36	1.26
1789704494	2026-09-18T04:08:14Z	1.42	1.37	1.26
1789704499	2026-09-18T04:08:19Z	1.38	1.36	1.26
1789704504	2026-09-18T04:08:24Z	1.35	1.36	1.26
1789704509	2026-09-18T04:08:29Z	1.32	1.35	1.26
1789704514	2026-09-18T04:08:34Z	1.19	1.32	1.25
1789704519	2026-09-18T04:08:39Z	1.26	1.33	1.26
1789704524	2026-09-18T04:08:44Z	1.32	1.34	1.26
1789704529	2026-09-18T04:08:49Z	1.29	1.34	1.26
1789704534	2026-09-18T04:08:54Z	1.27	1.33	1.26
1789704539	2026-09-18T04:08:59Z	1.25	1.33	1.26
1789704544	2026-09-18T04:09:04Z	1.15	1.30	1.25
