epoch	utc	load1	load5	load15
1789705631	2026-09-18T04:27:11Z	0.03	0.20	0.55
1789705636	2026-09-18T04:27:16Z	0.10	0.22	0.56
1789705641	2026-09-18T04:27:21Z	0.18	0.23	0.56
1789705646	2026-09-18T04:27:26Z	0.24	0.24	0.56
1789705651	2026-09-18T04:27:31Z	0.46	0.29	0.57
1789705656	2026-09-18T04:27:36Z	0.83	0.37	0.60
1789705661	2026-09-18T04:27:41Z	0.84	0.38	0.60
1789705666	2026-09-18T04:27:46Z	0.85	0.39	0.60
1789705671	2026-09-18T04:27:51Z	1.03	0.43	0.62
1789705676	2026-09-18T04:27:56Z	1.18	0.47	0.63
1789705681	2026-09-18T04:28:01Z	1.17	0.48	0.63
1789705686	2026-09-18T04:28:06Z	1.16	0.49	0.63
1789705691	2026-09-18T04:28:11Z	1.14	0.50	0.64
1789705696	2026-09-18T04:28:16Z	1.21	0.53	0.64
1789705701	2026-09-18T04:28:21Z	1.60	0.62	0.67
1789705706	2026-09-18T04:28:26Z	1.55	0.62	0.68
1789705711	2026-09-18T04:28:31Z	1.50	0.63	0.68
1789705716	2026-09-18T04:28:36Z	1.46	0.64	0.68
1789705721	2026-09-18T04:28:41Z	1.51	0.66	0.69
1789705726	2026-09-18T04:28:46Z	1.39	0.65	0.68
1789705731	2026-09-18T04:28:51Z	1.35	0.65	0.68
1789705736	2026-09-18T04:28:56Z	1.33	0.66	0.69
1789705741	2026-09-18T04:29:01Z	1.30	0.67	0.69
1789705746	2026-09-18T04:29:06Z	1.44	0.70	0.70
1789705750	2026-09-18T04:29:10Z	1.32	0.69	0.70
1789705755	2026-09-18T04:29:15Z	1.29	0.70	0.70
1789705760	2026-09-18T04:29:20Z	1.35	0.72	0.71
1789705765	2026-09-18T04:29:25Z	1.32	0.73	0.71
1789705770	2026-09-18T04:29:30Z	1.30	0.73	0.71
1789705775	2026-09-18T04:29:35Z	1.35	0.75	0.72
1789705780	2026-09-18T04:29:40Z	1.33	0.76	0.72
1789705785	2026-09-18T04:29:45Z	1.30	0.76	0.72
1789705790	2026-09-18T04:29:50Z	1.27	0.77	0.72
1789705795	2026-09-18T04:29:55Z	1.25	0.77	0.73
1789705800	2026-09-18T04:30:00Z	1.23	0.77	0.73
1789705805	2026-09-18T04:30:05Z	1.37	0.81	0.74
1789705810	2026-09-18T04:30:10Z	1.34	0.81	0.74
1789705815	2026-09-18T04:30:15Z	1.32	0.82	0.74
1789705820	2026-09-18T04:30:20Z	1.29	0.82	0.74
1789705825	2026-09-18T04:30:25Z	1.27	0.82	0.75
1789705830	2026-09-18T04:30:30Z	1.57	0.89	0.77
1789705835	2026-09-18T04:30:35Z	1.52	0.89	0.77
1789705840	2026-09-18T04:30:40Z	1.40	0.88	0.77
1789705845	2026-09-18T04:30:45Z	1.29	0.87	0.76
1789705850	2026-09-18T04:30:50Z	1.26	0.87	0.76
1789705855	2026-09-18T04:30:55Z	1.24	0.87	0.76
1789705860	2026-09-18T04:31:00Z	1.22	0.87	0.77
1789705865	2026-09-18T04:31:05Z	1.28	0.89	0.77
1789705870	2026-09-18T04:31:10Z	1.26	0.89	0.77
1789705875	2026-09-18T04:31:15Z	1.24	0.90	0.78
1789705880	2026-09-18T04:31:20Z	1.22	0.90	0.78
1789705885	2026-09-18T04:31:25Z	1.12	0.88	0.77
1789705890	2026-09-18T04:31:30Z	1.03	0.87	0.77
1789705895	2026-09-18T04:31:35Z	0.95	0.85	0.76
1789705900	2026-09-18T04:31:40Z	0.87	0.84	0.76
1789705905	2026-09-18T04:31:45Z	0.80	0.82	0.75
1789705910	2026-09-18T04:31:50Z	0.82	0.83	0.76
1789705915	2026-09-18T04:31:55Z	0.83	0.83	0.76
1789705920	2026-09-18T04:32:00Z	0.85	0.83	0.76
1789705925	2026-09-18T04:32:05Z	0.86	0.84	0.76
1789705930	2026-09-18T04:32:10Z	1.19	0.91	0.78
1789705935	2026-09-18T04:32:15Z	1.18	0.91	0.79
1789705940	2026-09-18T04:32:20Z	1.16	0.91	0.79
1789705945	2026-09-18T04:32:25Z	1.15	0.91	0.79
1789705950	2026-09-18T04:32:30Z	1.06	0.90	0.78
1789705955	2026-09-18T04:32:35Z	0.97	0.88	0.78
1789705960	2026-09-18T04:32:40Z	0.97	0.88	0.78
1789705965	2026-09-18T04:32:45Z	0.90	0.87	0.78
1789705970	2026-09-18T04:32:50Z	0.90	0.87	0.78
1789705975	2026-09-18T04:32:55Z	0.91	0.87	0.78
1789705980	2026-09-18T04:33:00Z	0.92	0.88	0.78
1789705985	2026-09-18T04:33:05Z	0.93	0.88	0.78
1789705990	2026-09-18T04:33:10Z	0.85	0.86	0.78
1789705995	2026-09-18T04:33:15Z	0.78	0.85	0.77
1789706000	2026-09-18T04:33:20Z	0.72	0.83	0.77
1789706005	2026-09-18T04:33:25Z	0.66	0.82	0.76
1789706010	2026-09-18T04:33:30Z	0.61	0.81	0.76
1789706015	2026-09-18T04:33:35Z	0.56	0.79	0.76
1789706020	2026-09-18T04:33:40Z	0.52	0.78	0.75
1789706025	2026-09-18T04:33:45Z	0.47	0.77	0.75
1789706030	2026-09-18T04:33:50Z	0.52	0.77	0.75
1789706035	2026-09-18T04:33:55Z	0.56	0.77	0.75
1789706040	2026-09-18T04:34:00Z	0.59	0.78	0.75
1789706045	2026-09-18T04:34:05Z	0.70	0.80	0.76
1789706050	2026-09-18T04:34:10Z	0.65	0.79	0.75
1789706055	2026-09-18T04:34:15Z	0.60	0.77	0.75
1789706060	2026-09-18T04:34:20Z	0.55	0.76	0.75
1789706065	2026-09-18T04:34:25Z	0.50	0.75	0.74
1789706070	2026-09-18T04:34:30Z	0.70	0.78	0.75
1789706075	2026-09-18T04:34:35Z	0.81	0.80	0.76
1789706080	2026-09-18T04:34:40Z	0.82	0.81	0.76
1789706085	2026-09-18T04:34:45Z	0.84	0.81	0.76
1789706090	2026-09-18T04:34:50Z	1.01	0.85	0.77
1789706095	2026-09-18T04:34:55Z	0.93	0.83	0.77
1789706100	2026-09-18T04:35:00Z	0.86	0.82	0.77
1789706105	2026-09-18T04:35:05Z	0.79	0.81	0.76
1789706110	2026-09-18T04:35:10Z	1.04	0.86	0.78
1789706115	2026-09-18T04:35:15Z	1.04	0.86	0.78
