epoch	utc	load1	load5	load15
1789697601	2026-09-18T02:13:21Z	0.36	0.82	0.98
1789697606	2026-09-18T02:13:26Z	0.41	0.82	0.98
1789697611	2026-09-18T02:13:31Z	0.46	0.82	0.98
1789697616	2026-09-18T02:13:36Z	0.58	0.84	0.98
1789697621	2026-09-18T02:13:41Z	0.61	0.85	0.98
1789697626	2026-09-18T02:13:46Z	0.65	0.85	0.98
1789697631	2026-09-18T02:13:51Z	0.67	0.85	0.98
1789697636	2026-09-18T02:13:56Z	0.62	0.84	0.98
1789697641	2026-09-18T02:14:01Z	0.73	0.86	0.99
1789697646	2026-09-18T02:14:06Z	0.67	0.84	0.98
1789697651	2026-09-18T02:14:11Z	0.70	0.85	0.98
1789697656	2026-09-18T02:14:16Z	0.64	0.83	0.97
1789697661	2026-09-18T02:14:21Z	0.59	0.82	0.97
1789697666	2026-09-18T02:14:26Z	0.54	0.80	0.96
1789697671	2026-09-18T02:14:31Z	0.66	0.82	0.97
1789697676	2026-09-18T02:14:36Z	0.77	0.84	0.98
1789697681	2026-09-18T02:14:41Z	0.79	0.85	0.98
1789697686	2026-09-18T02:14:46Z	0.72	0.83	0.97
1789697691	2026-09-18T02:14:51Z	0.67	0.82	0.97
1789697696	2026-09-18T02:14:56Z	0.69	0.82	0.97
1789697701	2026-09-18T02:15:01Z	0.72	0.82	0.97
1789697706	2026-09-18T02:15:06Z	0.82	0.84	0.97
1789697711	2026-09-18T02:15:11Z	0.83	0.85	0.97
