epoch	utc	load1	load5	load15
1789697713	2026-09-18T02:15:13Z	0.83	0.85	0.97
1789697718	2026-09-18T02:15:18Z	0.85	0.85	0.97
1789697723	2026-09-18T02:15:23Z	0.78	0.84	0.97
1789697728	2026-09-18T02:15:28Z	0.72	0.82	0.96
1789697733	2026-09-18T02:15:33Z	0.66	0.81	0.96
1789697738	2026-09-18T02:15:38Z	0.61	0.79	0.95
1789697743	2026-09-18T02:15:43Z	0.64	0.80	0.95
1789697748	2026-09-18T02:15:48Z	0.67	0.80	0.95
1789697753	2026-09-18T02:15:53Z	0.77	0.82	0.96
1789697758	2026-09-18T02:15:58Z	0.79	0.82	0.96
1789697763	2026-09-18T02:16:03Z	0.81	0.83	0.96
1789697768	2026-09-18T02:16:08Z	0.83	0.83	0.96
1789697773	2026-09-18T02:16:13Z	0.92	0.85	0.97
1789697778	2026-09-18T02:16:18Z	1.01	0.87	0.97
1789697783	2026-09-18T02:16:23Z	1.01	0.87	0.97
1789697788	2026-09-18T02:16:28Z	1.00	0.87	0.97
1789697793	2026-09-18T02:16:33Z	1.08	0.89	0.98
1789697798	2026-09-18T02:16:38Z	1.08	0.90	0.98
1789697803	2026-09-18T02:16:43Z	1.07	0.90	0.98
1789697808	2026-09-18T02:16:48Z	1.07	0.90	0.98
1789697813	2026-09-18T02:16:53Z	0.98	0.88	0.97
1789697818	2026-09-18T02:16:58Z	0.98	0.89	0.98
1789697823	2026-09-18T02:17:03Z	0.90	0.87	0.97
1789697828	2026-09-18T02:17:08Z	0.99	0.89	0.98
1789697833	2026-09-18T02:17:13Z	1.07	0.91	0.98
1789697838	2026-09-18T02:17:18Z	1.07	0.91	0.98
1789697843	2026-09-18T02:17:23Z	0.98	0.90	0.98
1789697848	2026-09-18T02:17:28Z	0.90	0.88	0.97
1789697853	2026-09-18T02:17:33Z	0.83	0.87	0.97
1789697858	2026-09-18T02:17:38Z	0.76	0.85	0.96
1789697863	2026-09-18T02:17:43Z	0.78	0.85	0.96
1789697868	2026-09-18T02:17:48Z	0.72	0.84	0.96
1789697873	2026-09-18T02:17:53Z	0.74	0.84	0.96
1789697878	2026-09-18T02:17:58Z	0.68	0.83	0.95
1789697883	2026-09-18T02:18:03Z	0.63	0.81	0.95
1789697888	2026-09-18T02:18:08Z	0.74	0.83	0.95
1789697893	2026-09-18T02:18:13Z	0.76	0.84	0.95
1789697898	2026-09-18T02:18:18Z	0.78	0.84	0.95
1789697903	2026-09-18T02:18:23Z	0.88	0.86	0.96
1789697908	2026-09-18T02:18:28Z	0.89	0.86	0.96
1789697913	2026-09-18T02:18:33Z	0.98	0.88	0.96
1789697918	2026-09-18T02:18:38Z	0.98	0.88	0.97
1789697923	2026-09-18T02:18:43Z	0.98	0.89	0.97
1789697928	2026-09-18T02:18:48Z	0.98	0.89	0.97
1789697933	2026-09-18T02:18:53Z	0.98	0.89	0.97
1789697939	2026-09-18T02:18:59Z	0.99	0.89	0.97
1789697944	2026-09-18T02:19:04Z	1.07	0.91	0.97
1789697949	2026-09-18T02:19:09Z	1.06	0.91	0.97
1789697954	2026-09-18T02:19:14Z	1.06	0.91	0.97
1789697959	2026-09-18T02:19:19Z	1.21	0.95	0.99
1789697964	2026-09-18T02:19:24Z	1.28	0.97	0.99
1789697969	2026-09-18T02:19:29Z	1.25	0.97	0.99
1789697974	2026-09-18T02:19:34Z	1.31	0.98	1.00
1789697979	2026-09-18T02:19:39Z	1.77	1.08	1.03
1789697984	2026-09-18T02:19:44Z	2.03	1.15	1.05
1789697989	2026-09-18T02:19:49Z	2.11	1.18	1.06
1789697994	2026-09-18T02:19:54Z	2.42	1.26	1.09
1789697999	2026-09-18T02:19:59Z	2.38	1.27	1.09
1789698004	2026-09-18T02:20:04Z	2.67	1.35	1.12
1789698009	2026-09-18T02:20:09Z	2.70	1.38	1.13
1789698014	2026-09-18T02:20:14Z	3.04	1.47	1.16
1789698019	2026-09-18T02:20:19Z	2.96	1.48	1.17
1789698024	2026-09-18T02:20:24Z	2.96	1.51	1.18
1789698029	2026-09-18T02:20:29Z	2.89	1.52	1.18
1789698034	2026-09-18T02:20:34Z	2.82	1.52	1.19
1789698039	2026-09-18T02:20:39Z	2.83	1.55	1.20
1789698044	2026-09-18T02:20:44Z	2.86	1.60	1.22
1789698049	2026-09-18T02:20:49Z	2.87	1.62	1.23
1789698054	2026-09-18T02:20:54Z	2.80	1.63	1.23
1789698059	2026-09-18T02:20:59Z	2.65	1.62	1.23
1789698064	2026-09-18T02:21:04Z	2.52	1.61	1.23
1789698069	2026-09-18T02:21:09Z	2.48	1.61	1.23
1789698074	2026-09-18T02:21:14Z	2.36	1.60	1.23
1789698079	2026-09-18T02:21:19Z	2.33	1.61	1.24
1789698084	2026-09-18T02:21:24Z	2.22	1.60	1.23
1789698089	2026-09-18T02:21:29Z	2.21	1.61	1.24
1789698094	2026-09-18T02:21:34Z	2.11	1.60	1.24
1789698099	2026-09-18T02:21:39Z	2.02	1.59	1.24
1789698104	2026-09-18T02:21:44Z	1.94	1.58	1.23
1789698109	2026-09-18T02:21:49Z	1.86	1.57	1.23
