epoch	utc	load1	load5	load15
1789699459	2026-09-18T02:44:19Z	0.12	1.57	1.82
1789699464	2026-09-18T02:44:24Z	0.19	1.56	1.81
1789699469	2026-09-18T02:44:29Z	0.18	1.53	1.80
1789699474	2026-09-18T02:44:34Z	0.16	1.50	1.79
1789699479	2026-09-18T02:44:39Z	0.23	1.50	1.79
1789699484	2026-09-18T02:44:44Z	0.21	1.47	1.78
1789699489	2026-09-18T02:44:49Z	0.19	1.45	1.77
1789699494	2026-09-18T02:44:54Z	0.18	1.42	1.76
1789699499	2026-09-18T02:44:59Z	0.16	1.40	1.75
1789699504	2026-09-18T02:45:04Z	0.23	1.39	1.74
1789699509	2026-09-18T02:45:09Z	0.29	1.38	1.74
1789699514	2026-09-18T02:45:14Z	0.43	1.39	1.74
1789699519	2026-09-18T02:45:19Z	0.56	1.40	1.74
1789699524	2026-09-18T02:45:24Z	0.51	1.38	1.73
1789699529	2026-09-18T02:45:29Z	0.47	1.36	1.72
1789699534	2026-09-18T02:45:34Z	0.43	1.34	1.71
1789699539	2026-09-18T02:45:39Z	0.40	1.31	1.70
1789699544	2026-09-18T02:45:44Z	0.36	1.29	1.69
1789699549	2026-09-18T02:45:49Z	0.34	1.27	1.69
1789699554	2026-09-18T02:45:54Z	0.31	1.25	1.68
1789699559	2026-09-18T02:45:59Z	0.36	1.24	1.67
1789699564	2026-09-18T02:46:04Z	0.33	1.22	1.66
1789699569	2026-09-18T02:46:09Z	0.31	1.20	1.65
1789699574	2026-09-18T02:46:14Z	0.36	1.20	1.65
1789699579	2026-09-18T02:46:19Z	0.49	1.21	1.65
1789699584	2026-09-18T02:46:24Z	0.54	1.21	1.65
1789699589	2026-09-18T02:46:29Z	0.65	1.22	1.65
1789699594	2026-09-18T02:46:34Z	0.68	1.22	1.65
1789699599	2026-09-18T02:46:39Z	0.79	1.23	1.65
1789699604	2026-09-18T02:46:44Z	0.80	1.23	1.64
1789699609	2026-09-18T02:46:49Z	0.82	1.22	1.64
1789699614	2026-09-18T02:46:54Z	0.99	1.25	1.65
1789699619	2026-09-18T02:46:59Z	1.08	1.27	1.65
1789699624	2026-09-18T02:47:04Z	1.23	1.29	1.66
1789699629	2026-09-18T02:47:09Z	1.21	1.29	1.65
1789699634	2026-09-18T02:47:14Z	1.19	1.28	1.65
1789699639	2026-09-18T02:47:19Z	1.26	1.30	1.65
1789699644	2026-09-18T02:47:24Z	1.32	1.31	1.65
1789699649	2026-09-18T02:47:29Z	1.69	1.39	1.68
1789699654	2026-09-18T02:47:34Z	1.80	1.41	1.68
1789699659	2026-09-18T02:47:39Z	1.97	1.46	1.70
1789699664	2026-09-18T02:47:44Z	1.98	1.47	1.70
1789699669	2026-09-18T02:47:49Z	1.98	1.47	1.70
1789699674	2026-09-18T02:47:54Z	1.90	1.47	1.70
1789699679	2026-09-18T02:47:59Z	1.83	1.46	1.69
1789699684	2026-09-18T02:48:04Z	1.84	1.47	1.69
1789699689	2026-09-18T02:48:09Z	1.86	1.48	1.70
1789699694	2026-09-18T02:48:14Z	1.79	1.47	1.69
1789699699	2026-09-18T02:48:19Z	1.64	1.44	1.68
1789699704	2026-09-18T02:48:24Z	1.51	1.42	1.67
1789699709	2026-09-18T02:48:29Z	1.39	1.40	1.66
1789699714	2026-09-18T02:48:34Z	1.28	1.37	1.66
1789699719	2026-09-18T02:48:39Z	1.34	1.38	1.66
1789699724	2026-09-18T02:48:44Z	1.31	1.38	1.65
1789699729	2026-09-18T02:48:49Z	1.37	1.39	1.66
1789699734	2026-09-18T02:48:54Z	1.34	1.38	1.65
1789699739	2026-09-18T02:48:59Z	1.31	1.37	1.65
