lab lab-d8a977f8  provider=firecracker  state=up  dir=/home/takanorifukuyama.guest/lab/.lab

STATUS COMPONENT              CHECK                                        DETAIL
ok    nats-server            process                                      pid 605294
ok    nats-server            GET /healthz?js-enabled-only=true            200 (JetStream enabled)
ok    gateway                process                                      pid 605321
ok    gateway                GET /healthz                                 200
ok    gateway                GET /readyz .ready                           true
ok    provider               readyz .preflight                            firecracker ok=true egress_network
ok    dispatcher             readyz .dispatcher.fenced                    false
ok    config-cache           readyz .control_plane.new_invocations        accepted config=stale_but_valid
ok    usage-journal          readyz .usage                                accepting=true journal_healthy=true collector_error=null
ok    budget                 readyz .budget                               accepting=true store_healthy=true stalled=false file_error=null
ok    ledger                 state.db schema_version = migrations         8/8
ok    queue                  tsls_async_queue_condition{healthy}          1
ok    trigger-scheduler      tsls_trigger_scheduler_owner                 1
ok    async-dispatcher       tsls_async_dispatch_runs_in_flight           0
ok    metrics                operator token 200, tenant token 401         401
ok    object-store           root exists, key 0600, backend filesystem    /home/takanorifukuyama.guest/lab/.lab/data/objects
skip  console                GET /console/                                not enabled (up --console)
[lab] transcript: /home/takanorifukuyama.guest/lab/.lab/logs/commands/20260918T014947Z-status-605521.log (exit 0)
