epoch	utc	load1	load5	load15
1789699804	2026-09-18T02:50:04Z	1.32	1.35	1.62
1789699809	2026-09-18T02:50:09Z	1.22	1.33	1.61
1789699814	2026-09-18T02:50:14Z	1.28	1.34	1.61
1789699819	2026-09-18T02:50:19Z	1.26	1.33	1.61
1789699824	2026-09-18T02:50:24Z	1.48	1.38	1.62
1789699829	2026-09-18T02:50:29Z	1.44	1.37	1.62
1789699834	2026-09-18T02:50:34Z	1.40	1.36	1.62
1789699839	2026-09-18T02:50:39Z	1.29	1.34	1.61
1789699844	2026-09-18T02:50:44Z	1.51	1.38	1.62
1789699849	2026-09-18T02:50:49Z	1.55	1.39	1.62
1789699854	2026-09-18T02:50:54Z	1.50	1.39	1.62
1789699859	2026-09-18T02:50:59Z	1.46	1.38	1.62
1789699864	2026-09-18T02:51:04Z	1.51	1.39	1.62
1789699869	2026-09-18T02:51:09Z	1.39	1.37	1.61
1789699874	2026-09-18T02:51:14Z	1.67	1.43	1.63
1789699879	2026-09-18T02:51:19Z	1.54	1.41	1.62
1789699884	2026-09-18T02:51:24Z	1.42	1.38	1.61
1789699889	2026-09-18T02:51:29Z	1.30	1.36	1.60
1789699894	2026-09-18T02:51:34Z	1.28	1.35	1.60
1789699899	2026-09-18T02:51:39Z	1.18	1.33	1.59
1789699904	2026-09-18T02:51:44Z	1.08	1.31	1.58
1789699909	2026-09-18T02:51:49Z	1.08	1.30	1.58
1789699914	2026-09-18T02:51:54Z	1.07	1.30	1.57
1789699919	2026-09-18T02:51:59Z	1.14	1.31	1.58
1789699924	2026-09-18T02:52:04Z	1.13	1.30	1.57
