epoch	utc	load1	load5	load15
1789699929	2026-09-18T02:52:09Z	1.12	1.30	1.57
1789699934	2026-09-18T02:52:14Z	1.19	1.31	1.57
1789699939	2026-09-18T02:52:19Z	1.10	1.29	1.56
1789699944	2026-09-18T02:52:24Z	1.01	1.27	1.55
1789699949	2026-09-18T02:52:29Z	0.93	1.24	1.55
1789699954	2026-09-18T02:52:34Z	0.85	1.22	1.54
1789699959	2026-09-18T02:52:39Z	1.02	1.25	1.55
1789699964	2026-09-18T02:52:44Z	1.10	1.27	1.55
1789699969	2026-09-18T02:52:49Z	1.09	1.26	1.54
1789699974	2026-09-18T02:52:54Z	1.09	1.26	1.54
1789699979	2026-09-18T02:52:59Z	1.08	1.25	1.54
1789699984	2026-09-18T02:53:04Z	1.15	1.27	1.54
1789699989	2026-09-18T02:53:09Z	1.22	1.28	1.54
1789699994	2026-09-18T02:53:14Z	1.20	1.27	1.54
1789699999	2026-09-18T02:53:19Z	1.19	1.27	1.54
