epoch	utc	load1	load5	load15
1789698388	2026-09-18T02:26:28Z	0.76	1.20	1.18
1789698393	2026-09-18T02:26:33Z	0.78	1.20	1.18
1789698398	2026-09-18T02:26:38Z	0.80	1.20	1.17
1789698403	2026-09-18T02:26:43Z	0.74	1.18	1.17
1789698408	2026-09-18T02:26:48Z	0.68	1.16	1.16
1789698413	2026-09-18T02:26:53Z	0.62	1.14	1.16
1789698418	2026-09-18T02:26:58Z	0.81	1.17	1.17
1789698423	2026-09-18T02:27:03Z	0.91	1.18	1.17
1789698428	2026-09-18T02:27:08Z	1.08	1.21	1.18
1789698433	2026-09-18T02:27:13Z	1.15	1.22	1.19
1789698438	2026-09-18T02:27:18Z	1.22	1.24	1.19
1789698443	2026-09-18T02:27:23Z	1.12	1.22	1.18
1789698448	2026-09-18T02:27:28Z	1.19	1.23	1.19
1789698453	2026-09-18T02:27:33Z	1.10	1.21	1.18
1789698458	2026-09-18T02:27:38Z	1.01	1.19	1.17
1789698463	2026-09-18T02:27:43Z	0.93	1.17	1.17
1789698468	2026-09-18T02:27:48Z	0.85	1.15	1.16
1789698473	2026-09-18T02:27:53Z	0.94	1.16	1.17
1789698478	2026-09-18T02:27:58Z	0.95	1.16	1.17
1789698483	2026-09-18T02:28:03Z	0.95	1.16	1.16
1789698488	2026-09-18T02:28:08Z	0.96	1.16	1.16
1789698493	2026-09-18T02:28:13Z	0.88	1.14	1.16
1789698498	2026-09-18T02:28:18Z	0.81	1.12	1.15
1789698503	2026-09-18T02:28:23Z	0.83	1.11	1.15
1789698508	2026-09-18T02:28:28Z	0.76	1.10	1.14
1789698513	2026-09-18T02:28:33Z	0.70	1.08	1.14
1789698518	2026-09-18T02:28:38Z	0.64	1.06	1.13
