epoch	utc	load1	load5	load15
1789698279	2026-09-18T02:24:39Z	0.93	1.43	1.24
1789698284	2026-09-18T02:24:44Z	0.94	1.42	1.24
1789698289	2026-09-18T02:24:49Z	0.94	1.41	1.24
1789698294	2026-09-18T02:24:54Z	0.87	1.39	1.23
1789698299	2026-09-18T02:24:59Z	0.80	1.36	1.23
1789698304	2026-09-18T02:25:04Z	0.73	1.34	1.22
1789698309	2026-09-18T02:25:09Z	0.67	1.32	1.21
1789698314	2026-09-18T02:25:14Z	0.62	1.30	1.21
1789698319	2026-09-18T02:25:19Z	0.57	1.27	1.20
1789698324	2026-09-18T02:25:24Z	0.52	1.25	1.19
1789698329	2026-09-18T02:25:29Z	0.56	1.25	1.19
1789698334	2026-09-18T02:25:35Z	0.60	1.24	1.19
1789698340	2026-09-18T02:25:40Z	0.71	1.26	1.19
1789698345	2026-09-18T02:25:45Z	0.81	1.27	1.20
1789698350	2026-09-18T02:25:50Z	0.83	1.26	1.20
1789698355	2026-09-18T02:25:55Z	0.84	1.26	1.20
1789698360	2026-09-18T02:26:00Z	0.85	1.26	1.19
1789698365	2026-09-18T02:26:05Z	0.87	1.25	1.19
1789698370	2026-09-18T02:26:10Z	0.88	1.25	1.19
1789698375	2026-09-18T02:26:15Z	0.81	1.23	1.18
1789698380	2026-09-18T02:26:20Z	0.74	1.21	1.18
1789698385	2026-09-18T02:26:25Z	0.76	1.20	1.18
