epoch	utc	load1	load5	load15
1789698113	2026-09-18T02:21:53Z	1.86	1.57	1.23
1789698118	2026-09-18T02:21:58Z	1.79	1.56	1.23
1789698123	2026-09-18T02:22:03Z	1.73	1.55	1.23
1789698128	2026-09-18T02:22:08Z	1.83	1.57	1.24
1789698133	2026-09-18T02:22:13Z	1.85	1.58	1.24
1789698138	2026-09-18T02:22:18Z	2.02	1.62	1.26
1789698143	2026-09-18T02:22:23Z	2.10	1.64	1.27
1789698148	2026-09-18T02:22:28Z	2.17	1.67	1.28
1789698153	2026-09-18T02:22:33Z	2.16	1.67	1.28
1789698158	2026-09-18T02:22:38Z	2.06	1.66	1.28
1789698163	2026-09-18T02:22:43Z	2.14	1.68	1.29
1789698168	2026-09-18T02:22:48Z	2.05	1.67	1.29
1789698173	2026-09-18T02:22:53Z	2.04	1.68	1.29
1789698178	2026-09-18T02:22:58Z	1.88	1.65	1.28
1789698183	2026-09-18T02:23:03Z	1.73	1.62	1.28
1789698188	2026-09-18T02:23:08Z	1.67	1.61	1.27
1789698193	2026-09-18T02:23:13Z	1.62	1.60	1.27
1789698198	2026-09-18T02:23:18Z	1.49	1.57	1.27
1789698203	2026-09-18T02:23:23Z	1.93	1.66	1.30
1789698208	2026-09-18T02:23:28Z	1.93	1.67	1.30
1789698213	2026-09-18T02:23:33Z	1.94	1.67	1.30
1789698218	2026-09-18T02:23:38Z	1.86	1.66	1.30
1789698223	2026-09-18T02:23:43Z	1.79	1.65	1.30
1789698228	2026-09-18T02:23:48Z	1.65	1.62	1.29
1789698234	2026-09-18T02:23:54Z	1.52	1.60	1.29
1789698238	2026-09-18T02:23:58Z	1.40	1.57	1.28
