epoch	utc	load1	load5	load15
1789699742	2026-09-18T02:49:02Z	1.28	1.37	1.64
1789699747	2026-09-18T02:49:07Z	1.26	1.36	1.64
1789699752	2026-09-18T02:49:12Z	1.24	1.35	1.64
1789699757	2026-09-18T02:49:17Z	1.22	1.35	1.63
1789699762	2026-09-18T02:49:22Z	1.12	1.33	1.62
1789699767	2026-09-18T02:49:27Z	1.03	1.30	1.61
1789699772	2026-09-18T02:49:32Z	1.11	1.32	1.62
1789699777	2026-09-18T02:49:37Z	1.10	1.31	1.61
1789699782	2026-09-18T02:49:42Z	1.25	1.34	1.62
1789699787	2026-09-18T02:49:47Z	1.23	1.33	1.62
1789699792	2026-09-18T02:49:52Z	1.29	1.34	1.62
1789699797	2026-09-18T02:49:57Z	1.35	1.35	1.62
1789699802	2026-09-18T02:50:02Z	1.32	1.35	1.62
