epoch	utc	load1	load5	load15
1789657771	2026-09-17T15:09:31Z	0.44	0.77	0.62
1789657776	2026-09-17T15:09:36Z	0.56	0.79	0.63
1789657781	2026-09-17T15:09:41Z	0.60	0.80	0.63
1789657786	2026-09-17T15:09:46Z	0.71	0.82	0.64
1789657791	2026-09-17T15:09:51Z	0.74	0.82	0.64
1789657796	2026-09-17T15:09:56Z	0.68	0.81	0.64
1789657801	2026-09-17T15:10:01Z	0.62	0.79	0.64
1789657806	2026-09-17T15:10:06Z	0.57	0.78	0.63
1789657811	2026-09-17T15:10:11Z	0.53	0.77	0.63
1789657816	2026-09-17T15:10:16Z	0.48	0.75	0.63
1789657821	2026-09-17T15:10:21Z	0.53	0.76	0.63
1789657826	2026-09-17T15:10:26Z	0.48	0.75	0.62
1789657831	2026-09-17T15:10:31Z	0.44	0.73	0.62
1789657836	2026-09-17T15:10:36Z	0.49	0.74	0.62
