epoch	utc	load1	load5	load15
1789657618	2026-09-17T15:06:58Z	1.07	0.93	0.64
1789657623	2026-09-17T15:07:03Z	1.06	0.94	0.64
1789657628	2026-09-17T15:07:08Z	1.14	0.95	0.65
1789657633	2026-09-17T15:07:13Z	1.13	0.95	0.65
1789657638	2026-09-17T15:07:18Z	1.12	0.96	0.65
1789657643	2026-09-17T15:07:23Z	1.03	0.94	0.65
1789657648	2026-09-17T15:07:28Z	0.94	0.92	0.64
1789657653	2026-09-17T15:07:33Z	1.03	0.94	0.65
1789657658	2026-09-17T15:07:38Z	1.03	0.94	0.65
1789657663	2026-09-17T15:07:43Z	0.94	0.93	0.65
1789657668	2026-09-17T15:07:48Z	0.87	0.91	0.65
1789657673	2026-09-17T15:07:53Z	0.80	0.90	0.64
1789657678	2026-09-17T15:07:58Z	0.81	0.90	0.64
1789657683	2026-09-17T15:08:03Z	0.75	0.88	0.64
1789657688	2026-09-17T15:08:08Z	0.69	0.87	0.64
1789657693	2026-09-17T15:08:13Z	0.63	0.85	0.63
