epoch	utc	load1	load5	load15
1789658552	2026-09-17T15:22:32Z	131.00	86.88	62.85
1789658562	2026-09-17T15:22:42Z	120.41	86.06	62.84
1789658572	2026-09-17T15:22:52Z	118.93	86.86	63.40
1789658582	2026-09-17T15:23:02Z	113.07	86.66	63.60
1789658593	2026-09-17T15:23:13Z	108.82	86.60	63.85
1789658603	2026-09-17T15:23:23Z	108.42	87.28	64.36
1789658613	2026-09-17T15:23:33Z	111.30	88.54	65.07
1789658623	2026-09-17T15:23:43Z	110.62	89.17	65.57
1789658633	2026-09-17T15:23:53Z	106.82	89.07	65.80
1789658643	2026-09-17T15:24:03Z	104.65	89.18	66.12
1789658653	2026-09-17T15:24:13Z	102.23	89.17	66.38
1789658663	2026-09-17T15:24:23Z	99.88	89.11	66.63
1789658673	2026-09-17T15:24:33Z	100.23	89.51	67.03
1789658683	2026-09-17T15:24:43Z	98.47	89.55	67.31
1789658693	2026-09-17T15:24:53Z	93.58	88.83	67.31
1789658703	2026-09-17T15:25:03Z	81.80	86.46	66.73
1789658713	2026-09-17T15:25:13Z	73.03	84.44	66.24
1789658723	2026-09-17T15:25:23Z	66.73	82.72	65.84
1789658733	2026-09-17T15:25:33Z	61.50	81.10	65.46
1789658743	2026-09-17T15:25:43Z	55.72	79.20	64.97
1789658753	2026-09-17T15:25:53Z	50.24	77.25	64.45
1789658763	2026-09-17T15:26:03Z	45.53	75.35	63.92
1789658773	2026-09-17T15:26:13Z	40.31	73.25	63.31
1789658783	2026-09-17T15:26:23Z	37.15	71.48	62.80
1789658793	2026-09-17T15:26:33Z	34.68	69.83	62.31
1789658803	2026-09-17T15:26:43Z	33.15	68.34	61.87
1789658813	2026-09-17T15:26:53Z	30.51	66.60	61.33
1789658823	2026-09-17T15:27:03Z	26.82	64.62	60.69
1789658833	2026-09-17T15:27:13Z	24.72	62.94	60.13
1789658843	2026-09-17T15:27:23Z	26.44	62.05	59.85
1789658853	2026-09-17T15:27:33Z	32.02	62.06	59.88
1789658863	2026-09-17T15:27:43Z	32.91	61.27	59.63
1789658873	2026-09-17T15:27:53Z	41.36	62.12	59.95
1789658883	2026-09-17T15:28:03Z	45.28	62.31	60.04
1789658893	2026-09-17T15:28:14Z	41.60	60.96	59.59
1789658904	2026-09-17T15:28:24Z	43.48	60.72	59.52
1789658914	2026-09-17T15:28:34Z	40.38	59.49	59.09
1789658924	2026-09-17T15:28:44Z	47.75	60.46	59.44
1789658934	2026-09-17T15:28:54Z	54.53	61.48	59.82
1789658944	2026-09-17T15:29:04Z	65.70	63.64	60.60
1789658954	2026-09-17T15:29:14Z	75.30	65.80	61.41
1789658964	2026-09-17T15:29:24Z	90.84	69.44	62.75
1789658974	2026-09-17T15:29:34Z	106.85	73.58	64.29
1789658984	2026-09-17T15:29:44Z	110.82	75.52	65.09
1789658994	2026-09-17T15:29:54Z	119.69	78.59	66.30
1789659004	2026-09-17T15:30:04Z	127.84	81.70	67.55
1789659014	2026-09-17T15:30:14Z	144.92	86.89	69.56
1789659024	2026-09-17T15:30:24Z	155.94	91.17	71.28
1789659034	2026-09-17T15:30:34Z	164.05	95.02	72.88
1789659044	2026-09-17T15:30:44Z	170.68	98.71	74.44
1789659054	2026-09-17T15:30:54Z	175.97	102.19	75.96
1789659064	2026-09-17T15:31:04Z	173.79	104.14	76.96
1789659074	2026-09-17T15:31:14Z	167.14	106.08	78.12
1789659084	2026-09-17T15:31:24Z	166.63	107.99	79.13
1789659094	2026-09-17T15:31:34Z	168.17	110.25	80.27
1789659104	2026-09-17T15:31:44Z	172.22	113.03	81.60
1789659114	2026-09-17T15:31:54Z	170.20	114.54	82.51
1789659124	2026-09-17T15:32:04Z	169.43	116.18	83.46
1789659134	2026-09-17T15:32:15Z	171.53	118.39	84.63
1789659145	2026-09-17T15:32:25Z	169.66	119.74	85.50
1789659155	2026-09-17T15:32:35Z	168.68	121.21	86.42
1789659165	2026-09-17T15:32:45Z	162.11	121.36	86.88
1789659175	2026-09-17T15:32:55Z	157.54	121.75	87.43
1789659185	2026-09-17T15:33:05Z	161.35	123.73	88.53
1789659195	2026-09-17T15:33:15Z	163.81	125.48	89.56
1789659205	2026-09-17T15:33:25Z	168.93	127.83	90.81
1789659215	2026-09-17T15:33:35Z	174.01	130.32	92.13
1789659225	2026-09-17T15:33:45Z	161.75	129.19	92.18
1789659235	2026-09-17T15:33:55Z	139.41	125.48	91.29
1789659245	2026-09-17T15:34:05Z	122.44	122.30	90.57
1789659255	2026-09-17T15:34:15Z	109.42	119.50	89.94
1789659265	2026-09-17T15:34:25Z	100.98	117.34	89.52
1789659275	2026-09-17T15:34:35Z	93.59	115.24	89.10
1789659285	2026-09-17T15:34:45Z	82.54	112.17	88.31
1789659295	2026-09-17T15:34:55Z	72.21	108.98	87.46
1789659305	2026-09-17T15:35:05Z	63.14	105.83	86.60
1789659315	2026-09-17T15:35:15Z	55.79	102.86	85.77
1789659325	2026-09-17T15:35:25Z	48.73	99.80	84.88
1789659335	2026-09-17T15:35:35Z	44.40	97.20	84.13
1789659345	2026-09-17T15:35:45Z	40.25	94.58	83.35
1789659355	2026-09-17T15:35:55Z	36.78	92.04	82.58
1789659365	2026-09-17T15:36:05Z	39.39	90.77	82.24
