epoch	utc	load1	load5	load15
1789658548	2026-09-17T15:22:28Z	2.56	2.05	1.20
1789658553	2026-09-17T15:22:33Z	2.51	2.04	1.21
1789658558	2026-09-17T15:22:38Z	2.39	2.03	1.21
1789658563	2026-09-17T15:22:43Z	2.28	2.01	1.21
1789658568	2026-09-17T15:22:48Z	2.26	2.01	1.21
1789658573	2026-09-17T15:22:53Z	2.16	1.99	1.21
1789658578	2026-09-17T15:22:58Z	1.98	1.96	1.20
1789658583	2026-09-17T15:23:03Z	1.82	1.93	1.19
1789658588	2026-09-17T15:23:08Z	1.76	1.91	1.19
1789658593	2026-09-17T15:23:13Z	1.70	1.90	1.19
1789658598	2026-09-17T15:23:18Z	1.64	1.88	1.19
1789658603	2026-09-17T15:23:23Z	1.51	1.85	1.18
1789658608	2026-09-17T15:23:28Z	1.47	1.84	1.18
1789658613	2026-09-17T15:23:33Z	1.35	1.80	1.18
1789658618	2026-09-17T15:23:38Z	1.32	1.79	1.17
1789658623	2026-09-17T15:23:43Z	1.30	1.78	1.17
1789658628	2026-09-17T15:23:48Z	1.35	1.78	1.18
1789658633	2026-09-17T15:23:53Z	1.41	1.79	1.18
1789658638	2026-09-17T15:23:58Z	1.45	1.79	1.19
1789658643	2026-09-17T15:24:03Z	1.42	1.78	1.19
1789658648	2026-09-17T15:24:08Z	1.62	1.81	1.20
1789658653	2026-09-17T15:24:13Z	1.73	1.83	1.21
1789658658	2026-09-17T15:24:18Z	1.76	1.84	1.22
1789658663	2026-09-17T15:24:23Z	1.86	1.86	1.22
1789658668	2026-09-17T15:24:28Z	2.03	1.89	1.24
1789658673	2026-09-17T15:24:33Z	2.19	1.93	1.26
1789658678	2026-09-17T15:24:38Z	2.33	1.96	1.27
1789658683	2026-09-17T15:24:43Z	2.38	1.98	1.28
1789658688	2026-09-17T15:24:48Z	2.43	2.00	1.29
1789658693	2026-09-17T15:24:53Z	2.32	1.98	1.29
1789658698	2026-09-17T15:24:58Z	2.29	1.98	1.29
1789658703	2026-09-17T15:25:03Z	2.19	1.96	1.29
1789658708	2026-09-17T15:25:08Z	2.33	2.00	1.30
1789658713	2026-09-17T15:25:13Z	2.31	2.00	1.31
1789658718	2026-09-17T15:25:18Z	2.36	2.02	1.32
1789658723	2026-09-17T15:25:23Z	2.41	2.03	1.33
1789658728	2026-09-17T15:25:28Z	2.46	2.05	1.34
1789658733	2026-09-17T15:25:33Z	2.42	2.05	1.34
1789658738	2026-09-17T15:25:38Z	2.31	2.03	1.34
1789658743	2026-09-17T15:25:43Z	2.69	2.11	1.37
1789658748	2026-09-17T15:25:48Z	2.95	2.18	1.39
1789658753	2026-09-17T15:25:53Z	3.12	2.22	1.41
1789658758	2026-09-17T15:25:58Z	3.27	2.27	1.43
1789658763	2026-09-17T15:26:03Z	3.33	2.30	1.45
1789658768	2026-09-17T15:26:08Z	3.06	2.26	1.44
1789658773	2026-09-17T15:26:13Z	2.81	2.22	1.43
1789658778	2026-09-17T15:26:18Z	2.67	2.20	1.43
1789658783	2026-09-17T15:26:23Z	2.54	2.18	1.43
1789658788	2026-09-17T15:26:28Z	2.33	2.15	1.42
1789658793	2026-09-17T15:26:33Z	2.47	2.18	1.43
1789658798	2026-09-17T15:26:38Z	2.51	2.19	1.44
