epoch	utc	load1	load5	load15
1789659405	2026-09-17T15:36:45Z	38.57	84.10	80.19
1789659415	2026-09-17T15:36:55Z	40.37	82.96	79.83
1789659425	2026-09-17T15:37:05Z	40.50	81.58	79.38
1789659435	2026-09-17T15:37:15Z	46.94	81.60	79.41
1789659446	2026-09-17T15:37:26Z	47.85	80.64	79.09
1789659456	2026-09-17T15:37:36Z	50.58	80.16	78.94
1789659466	2026-09-17T15:37:46Z	55.31	80.16	78.95
1789659476	2026-09-17T15:37:56Z	59.90	80.33	79.03
1789659486	2026-09-17T15:38:06Z	57.45	79.12	78.61
1789659496	2026-09-17T15:38:16Z	51.50	77.13	77.91
1789659506	2026-09-17T15:38:26Z	47.95	75.51	77.33
1789659516	2026-09-17T15:38:36Z	47.62	74.55	76.96
1789659526	2026-09-17T15:38:46Z	47.86	73.71	76.64
1789659536	2026-09-17T15:38:56Z	44.63	72.17	76.06
1789659546	2026-09-17T15:39:06Z	41.42	70.58	75.45
1789659556	2026-09-17T15:39:16Z	39.90	69.28	74.93
1789659566	2026-09-17T15:39:26Z	40.47	68.41	74.55
1789659576	2026-09-17T15:39:36Z	41.32	67.67	74.22
1789659586	2026-09-17T15:39:46Z	36.27	65.72	73.45
1789659596	2026-09-17T15:39:56Z	33.06	64.07	72.77
1789659606	2026-09-17T15:40:06Z	29.05	62.19	72.00
1789659616	2026-09-17T15:40:16Z	30.04	61.31	71.57
1789659626	2026-09-17T15:40:26Z	33.78	61.04	71.36
1789659636	2026-09-17T15:40:36Z	30.52	59.44	70.67
1789659646	2026-09-17T15:40:46Z	27.49	57.85	69.97
1789659656	2026-09-17T15:40:56Z	24.26	56.16	69.23
1789659666	2026-09-17T15:41:06Z	21.91	54.60	68.53
1789659676	2026-09-17T15:41:16Z	20.29	53.18	67.86
1789659686	2026-09-17T15:41:26Z	19.20	51.86	67.22
1789659696	2026-09-17T15:41:36Z	18.59	50.66	66.61
1789659706	2026-09-17T15:41:46Z	17.20	49.30	65.94
1789659716	2026-09-17T15:41:56Z	24.62	49.81	65.93
