epoch	utc	load1	load5	load15
1789659404	2026-09-17T15:36:44Z	0.65	1.81	1.68
1789659409	2026-09-17T15:36:49Z	0.68	1.80	1.68
1789659414	2026-09-17T15:36:54Z	0.71	1.79	1.68
1789659419	2026-09-17T15:36:59Z	0.73	1.77	1.67
1789659424	2026-09-17T15:37:04Z	0.75	1.76	1.67
1789659429	2026-09-17T15:37:09Z	1.01	1.80	1.68
1789659434	2026-09-17T15:37:14Z	1.09	1.80	1.68
1789659439	2026-09-17T15:37:19Z	1.08	1.79	1.68
1789659444	2026-09-17T15:37:24Z	1.16	1.79	1.68
1789659449	2026-09-17T15:37:29Z	1.39	1.83	1.69
1789659454	2026-09-17T15:37:34Z	1.52	1.85	1.70
1789659459	2026-09-17T15:37:39Z	1.55	1.85	1.70
1789659464	2026-09-17T15:37:44Z	1.75	1.89	1.72
1789659469	2026-09-17T15:37:49Z	1.85	1.90	1.72
1789659474	2026-09-17T15:37:54Z	1.86	1.91	1.72
1789659479	2026-09-17T15:37:59Z	2.11	1.96	1.74
1789659484	2026-09-17T15:38:04Z	2.19	1.98	1.75
1789659489	2026-09-17T15:38:09Z	2.01	1.94	1.74
1789659494	2026-09-17T15:38:14Z	1.85	1.91	1.73
1789659499	2026-09-17T15:38:19Z	1.78	1.89	1.73
1789659504	2026-09-17T15:38:24Z	1.72	1.88	1.72
1789659509	2026-09-17T15:38:29Z	1.82	1.90	1.73
1789659514	2026-09-17T15:38:34Z	1.76	1.88	1.72
1789659519	2026-09-17T15:38:39Z	1.78	1.89	1.73
1789659524	2026-09-17T15:38:44Z	1.95	1.92	1.74
1789659529	2026-09-17T15:38:49Z	2.04	1.94	1.75
1789659534	2026-09-17T15:38:54Z	2.03	1.94	1.75
1789659539	2026-09-17T15:38:59Z	2.11	1.96	1.75
1789659544	2026-09-17T15:39:04Z	1.94	1.93	1.75
1789659549	2026-09-17T15:39:09Z	1.87	1.91	1.74
1789659554	2026-09-17T15:39:14Z	1.96	1.93	1.75
1789659559	2026-09-17T15:39:19Z	2.04	1.95	1.75
1789659564	2026-09-17T15:39:24Z	1.96	1.93	1.75
1789659569	2026-09-17T15:39:29Z	1.80	1.90	1.74
1789659574	2026-09-17T15:39:34Z	1.66	1.87	1.73
1789659579	2026-09-17T15:39:39Z	1.84	1.90	1.74
1789659584	2026-09-17T15:39:44Z	1.94	1.92	1.75
1789659589	2026-09-17T15:39:49Z	2.02	1.94	1.76
1789659594	2026-09-17T15:39:54Z	2.18	1.97	1.77
1789659599	2026-09-17T15:39:59Z	2.17	1.97	1.77
1789659604	2026-09-17T15:40:04Z	2.23	1.99	1.78
1789659609	2026-09-17T15:40:09Z	2.13	1.97	1.77
1789659614	2026-09-17T15:40:14Z	2.28	2.01	1.78
1789659619	2026-09-17T15:40:19Z	2.42	2.04	1.80
1789659624	2026-09-17T15:40:24Z	2.31	2.02	1.79
1789659629	2026-09-17T15:40:29Z	2.20	2.01	1.79
1789659634	2026-09-17T15:40:34Z	2.27	2.02	1.79
1789659639	2026-09-17T15:40:39Z	2.41	2.06	1.81
1789659644	2026-09-17T15:40:44Z	2.37	2.06	1.81
1789659649	2026-09-17T15:40:49Z	2.34	2.05	1.81
1789659654	2026-09-17T15:40:54Z	2.31	2.05	1.81
1789659659	2026-09-17T15:40:59Z	2.21	2.04	1.81
1789659664	2026-09-17T15:41:04Z	2.35	2.07	1.82
1789659669	2026-09-17T15:41:09Z	2.24	2.05	1.81
1789659674	2026-09-17T15:41:14Z	2.22	2.05	1.82
1789659679	2026-09-17T15:41:19Z	2.21	2.05	1.82
1789659684	2026-09-17T15:41:24Z	2.11	2.03	1.81
1789659689	2026-09-17T15:41:29Z	2.02	2.01	1.81
1789659694	2026-09-17T15:41:34Z	1.94	2.00	1.80
1789659699	2026-09-17T15:41:39Z	2.18	2.05	1.82
1789659703	2026-09-17T15:41:43Z	2.49	2.11	1.84
1789659708	2026-09-17T15:41:48Z	2.45	2.11	1.85
1789659714	2026-09-17T15:41:54Z	2.41	2.11	1.85
1789659719	2026-09-17T15:41:59Z	2.30	2.09	1.84
1789659724	2026-09-17T15:42:04Z	2.36	2.11	1.85
