epoch	utc	load1	load5	load15
1789659837	2026-09-17T15:43:57Z	17.02	38.65	59.37
1789659847	2026-09-17T15:44:07Z	17.75	38.07	58.92
1789659857	2026-09-17T15:44:17Z	31.93	40.44	59.52
1789659867	2026-09-17T15:44:27Z	40.10	41.91	59.81
1789659877	2026-09-17T15:44:37Z	47.42	43.44	60.15
1789659887	2026-09-17T15:44:47Z	47.96	43.66	60.03
1789659897	2026-09-17T15:44:57Z	48.53	43.94	59.94
1789659907	2026-09-17T15:45:07Z	50.24	44.43	59.92
1789659917	2026-09-17T15:45:17Z	49.84	44.57	59.79
1789659927	2026-09-17T15:45:27Z	45.91	43.90	59.38
1789659937	2026-09-17T15:45:37Z	40.58	42.81	58.81
1789659947	2026-09-17T15:45:47Z	36.68	41.90	58.30
1789659957	2026-09-17T15:45:57Z	32.25	40.78	57.71
1789659967	2026-09-17T15:46:07Z	33.04	40.67	57.47
1789659977	2026-09-17T15:46:17Z	36.26	41.11	57.43
1789659987	2026-09-17T15:46:27Z	46.68	43.15	57.96
1789659997	2026-09-17T15:46:37Z	50.10	44.02	58.10
1789660007	2026-09-17T15:46:47Z	54.13	45.08	58.31
1789660018	2026-09-17T15:46:58Z	49.59	44.42	57.92
1789660028	2026-09-17T15:47:08Z	50.12	44.69	57.86
1789660038	2026-09-17T15:47:18Z	51.51	45.15	57.87
1789660048	2026-09-17T15:47:28Z	57.67	46.67	58.26
1789660058	2026-09-17T15:47:38Z	63.45	48.24	58.68
1789660068	2026-09-17T15:47:48Z	57.69	47.52	58.30
1789660078	2026-09-17T15:47:58Z	49.35	46.07	57.66
1789660088	2026-09-17T15:48:08Z	44.83	45.21	57.22
1789660098	2026-09-17T15:48:18Z	42.96	44.79	56.93
1789660108	2026-09-17T15:48:28Z	40.93	44.29	56.61
1789660118	2026-09-17T15:48:38Z	39.31	43.82	56.30
1789660128	2026-09-17T15:48:48Z	41.73	44.21	56.29
1789660138	2026-09-17T15:48:58Z	36.87	43.08	55.75
1789660148	2026-09-17T15:49:08Z	34.79	42.43	55.37
1789660158	2026-09-17T15:49:18Z	33.64	41.91	55.03
1789660168	2026-09-17T15:49:28Z	33.63	41.64	54.78
1789660178	2026-09-17T15:49:38Z	40.32	42.81	55.04
1789660188	2026-09-17T15:49:48Z	41.56	42.99	54.96
1789660198	2026-09-17T15:49:58Z	44.10	43.47	54.99
1789660208	2026-09-17T15:50:08Z	44.85	43.65	54.92
1789660218	2026-09-17T15:50:18Z	49.14	44.60	55.13
1789660228	2026-09-17T15:50:28Z	53.37	45.65	55.38
1789660238	2026-09-17T15:50:38Z	56.87	46.64	55.61
1789660248	2026-09-17T15:50:48Z	60.48	47.77	55.91
1789660259	2026-09-17T15:50:59Z	62.39	48.62	56.12
1789660269	2026-09-17T15:51:09Z	62.08	49.04	56.18
1789660279	2026-09-17T15:51:19Z	62.09	49.46	56.25
1789660289	2026-09-17T15:51:29Z	65.20	50.54	56.55
1789660299	2026-09-17T15:51:39Z	59.88	49.89	56.25
1789660309	2026-09-17T15:51:49Z	52.70	48.68	55.74
