epoch	utc	load1	load5	load15
1789659831	2026-09-17T15:43:51Z	0.41	1.48	1.64
1789659836	2026-09-17T15:43:56Z	0.45	1.47	1.64
1789659841	2026-09-17T15:44:01Z	0.58	1.48	1.64
1789659846	2026-09-17T15:44:06Z	0.77	1.50	1.65
1789659851	2026-09-17T15:44:11Z	1.27	1.60	1.68
1789659856	2026-09-17T15:44:16Z	1.89	1.72	1.72
1789659861	2026-09-17T15:44:21Z	1.74	1.69	1.71
1789659866	2026-09-17T15:44:26Z	1.76	1.69	1.71
1789659871	2026-09-17T15:44:31Z	2.18	1.78	1.74
1789659876	2026-09-17T15:44:36Z	2.33	1.82	1.75
1789659881	2026-09-17T15:44:41Z	2.14	1.79	1.74
1789659886	2026-09-17T15:44:46Z	2.21	1.81	1.75
1789659891	2026-09-17T15:44:51Z	2.27	1.83	1.76
1789659896	2026-09-17T15:44:56Z	2.09	1.80	1.75
1789659901	2026-09-17T15:45:01Z	1.92	1.77	1.74
1789659906	2026-09-17T15:45:06Z	2.01	1.79	1.74
1789659911	2026-09-17T15:45:11Z	2.00	1.80	1.75
1789659916	2026-09-17T15:45:16Z	1.84	1.77	1.74
1789659921	2026-09-17T15:45:21Z	1.77	1.75	1.73
1789659926	2026-09-17T15:45:26Z	1.71	1.74	1.73
1789659931	2026-09-17T15:45:31Z	1.57	1.71	1.72
1789659936	2026-09-17T15:45:36Z	1.61	1.72	1.72
1789659941	2026-09-17T15:45:41Z	1.72	1.74	1.73
1789659946	2026-09-17T15:45:46Z	1.82	1.76	1.73
1789659951	2026-09-17T15:45:51Z	2.00	1.80	1.75
1789659956	2026-09-17T15:45:56Z	2.08	1.82	1.75
1789659961	2026-09-17T15:46:01Z	1.99	1.80	1.75
1789659966	2026-09-17T15:46:06Z	1.99	1.81	1.75
1789659971	2026-09-17T15:46:11Z	1.99	1.81	1.75
1789659976	2026-09-17T15:46:16Z	1.91	1.80	1.75
1789659981	2026-09-17T15:46:21Z	2.00	1.82	1.75
1789659986	2026-09-17T15:46:26Z	2.08	1.84	1.76
1789659991	2026-09-17T15:46:31Z	1.99	1.82	1.76
1789659996	2026-09-17T15:46:36Z	2.07	1.84	1.76
1789660001	2026-09-17T15:46:41Z	2.15	1.86	1.77
1789660006	2026-09-17T15:46:46Z	1.98	1.83	1.76
1789660011	2026-09-17T15:46:51Z	1.82	1.80	1.75
1789660016	2026-09-17T15:46:56Z	1.67	1.77	1.74
1789660021	2026-09-17T15:47:01Z	1.54	1.74	1.73
1789660026	2026-09-17T15:47:06Z	1.49	1.73	1.73
1789660031	2026-09-17T15:47:11Z	1.45	1.71	1.72
1789660036	2026-09-17T15:47:16Z	1.42	1.70	1.72
1789660041	2026-09-17T15:47:21Z	1.38	1.69	1.72
1789660046	2026-09-17T15:47:26Z	1.35	1.68	1.71
1789660051	2026-09-17T15:47:31Z	1.32	1.67	1.71
1789660056	2026-09-17T15:47:36Z	1.30	1.66	1.70
1789660061	2026-09-17T15:47:41Z	1.27	1.64	1.70
1789660066	2026-09-17T15:47:46Z	1.25	1.63	1.70
1789660071	2026-09-17T15:47:51Z	1.31	1.64	1.70
1789660076	2026-09-17T15:47:56Z	1.21	1.61	1.69
1789660081	2026-09-17T15:48:01Z	1.11	1.59	1.68
1789660086	2026-09-17T15:48:06Z	1.02	1.56	1.67
1789660091	2026-09-17T15:48:11Z	1.18	1.58	1.68
1789660096	2026-09-17T15:48:16Z	1.25	1.59	1.68
1789660101	2026-09-17T15:48:21Z	1.47	1.63	1.69
1789660106	2026-09-17T15:48:26Z	1.59	1.65	1.70
1789660111	2026-09-17T15:48:31Z	1.54	1.64	1.70
1789660116	2026-09-17T15:48:36Z	1.58	1.65	1.70
1789660121	2026-09-17T15:48:41Z	1.53	1.64	1.69
