epoch	utc	load1	load5	load15
1789662583	2026-09-17T16:29:43Z	2.18	3.65	10.84
1789662593	2026-09-17T16:29:53Z	2.70	3.71	10.78
1789662603	2026-09-17T16:30:03Z	3.06	3.76	10.71
1789662613	2026-09-17T16:30:13Z	3.28	3.78	10.64
1789662623	2026-09-17T16:30:23Z	3.33	3.77	10.56
1789662633	2026-09-17T16:30:33Z	3.44	3.78	10.48
1789662643	2026-09-17T16:30:43Z	3.58	3.80	10.41
1789662654	2026-09-17T16:30:54Z	3.49	3.77	10.32
1789662664	2026-09-17T16:31:04Z	3.11	3.68	10.21
1789662674	2026-09-17T16:31:14Z	2.78	3.59	10.10
