epoch	utc	load1	load5	load15
1789662577	2026-09-17T16:29:37Z	0.27	0.87	1.07
1789662582	2026-09-17T16:29:42Z	0.25	0.86	1.06
1789662587	2026-09-17T16:29:47Z	0.23	0.84	1.06
1789662592	2026-09-17T16:29:52Z	0.61	0.91	1.08
1789662597	2026-09-17T16:29:57Z	0.88	0.96	1.09
1789662602	2026-09-17T16:30:02Z	1.13	1.01	1.11
1789662607	2026-09-17T16:30:07Z	1.36	1.06	1.12
1789662612	2026-09-17T16:30:12Z	1.49	1.10	1.13
1789662617	2026-09-17T16:30:17Z	1.77	1.16	1.16
1789662622	2026-09-17T16:30:22Z	1.71	1.16	1.15
1789662627	2026-09-17T16:30:27Z	1.97	1.22	1.18
1789662632	2026-09-17T16:30:32Z	2.14	1.27	1.19
1789662637	2026-09-17T16:30:37Z	2.29	1.31	1.21
1789662642	2026-09-17T16:30:42Z	2.42	1.36	1.22
1789662647	2026-09-17T16:30:47Z	2.31	1.35	1.22
1789662652	2026-09-17T16:30:52Z	2.12	1.33	1.21
1789662657	2026-09-17T16:30:57Z	1.95	1.31	1.21
1789662662	2026-09-17T16:31:02Z	1.88	1.30	1.20
1789662667	2026-09-17T16:31:07Z	1.89	1.31	1.21
1789662672	2026-09-17T16:31:12Z	1.82	1.31	1.21
