epoch	utc	load1	load5	load15
1789662799	2026-09-17T16:33:19Z	0.21	0.85	1.05
1789662804	2026-09-17T16:33:24Z	0.20	0.84	1.04
1789662809	2026-09-17T16:33:29Z	0.50	0.89	1.06
1789662814	2026-09-17T16:33:34Z	0.86	0.96	1.08
1789662819	2026-09-17T16:33:39Z	1.11	1.01	1.10
1789662824	2026-09-17T16:33:44Z	1.34	1.06	1.11
1789662829	2026-09-17T16:33:49Z	1.72	1.14	1.14
1789662834	2026-09-17T16:33:54Z	1.82	1.17	1.15
1789662839	2026-09-17T16:33:59Z	1.75	1.17	1.15
1789662844	2026-09-17T16:34:04Z	1.93	1.22	1.16
1789662849	2026-09-17T16:34:09Z	2.10	1.26	1.18
1789662854	2026-09-17T16:34:14Z	2.41	1.34	1.21
1789662859	2026-09-17T16:34:19Z	2.62	1.40	1.23
1789662864	2026-09-17T16:34:24Z	2.49	1.40	1.22
