# tachyon-serverless lab transcript
# command:  scripts/lab/lab.sh --provider firecracker status
# started:  2026-09-17T16:38:19Z
# lab_dir:  /home/takanorifukuyama.guest/lab/.lab
# lab_id:   lab-4382d02e
# host:     Linux 7.0.0-31-generic aarch64 user=takanorifukuyama
# git:      264db3e1c8e64fa4e4ce8d6360afbc50675a7882
2026-09-17T16:38:19Z lab lab-4382d02e  provider=firecracker  state=up  dir=/home/takanorifukuyama.guest/lab/.lab
2026-09-17T16:38:19Z 
2026-09-17T16:38:19Z STATUS COMPONENT              CHECK                                        DETAIL
2026-09-17T16:38:19Z ok    nats-server            process                                      pid 364755
2026-09-17T16:38:19Z ok    nats-server            GET /healthz?js-enabled-only=true            200 (JetStream enabled)
2026-09-17T16:38:19Z ok    gateway                process                                      pid 364783
2026-09-17T16:38:19Z ok    gateway                GET /healthz                                 200
2026-09-17T16:38:19Z ok    gateway                GET /readyz .ready                           true
2026-09-17T16:38:19Z ok    provider               readyz .preflight                            firecracker ok=true egress_network
2026-09-17T16:38:19Z ok    dispatcher             readyz .dispatcher.fenced                    false
2026-09-17T16:38:19Z ok    config-cache           readyz .control_plane.new_invocations        accepted config=stale_but_valid
2026-09-17T16:38:19Z ok    usage-journal          readyz .usage                                accepting=true journal_healthy=true collector_error=null
2026-09-17T16:38:19Z ok    budget                 readyz .budget                               accepting=true store_healthy=true stalled=false file_error=null
2026-09-17T16:38:19Z ok    ledger                 state.db schema_version = migrations         8/8
2026-09-17T16:38:19Z ok    queue                  tsls_async_queue_condition{healthy}          1
2026-09-17T16:38:19Z ok    trigger-scheduler      tsls_trigger_scheduler_owner                 1
2026-09-17T16:38:19Z ok    async-dispatcher       tsls_async_dispatch_runs_in_flight           0
2026-09-17T16:38:19Z ok    metrics                operator token 200, tenant token 401         401
2026-09-17T16:38:19Z ok    object-store           root exists, key 0600, backend filesystem    /home/takanorifukuyama.guest/lab/.lab/data/objects
2026-09-17T16:38:19Z skip  console                GET /console/                                not enabled (up --console)
# finished: 2026-09-17T16:38:19Z exit=0
