epoch	utc	load1	load5	load15
1789662934	2026-09-17T16:35:34Z	2.26	2.98	8.14
1789662944	2026-09-17T16:35:44Z	2.07	2.92	8.05
1789662954	2026-09-17T16:35:54Z	2.44	2.97	8.01
1789662964	2026-09-17T16:36:04Z	2.83	3.03	7.98
1789662974	2026-09-17T16:36:14Z	3.02	3.06	7.93
1789662984	2026-09-17T16:36:24Z	3.11	3.08	7.88
1789662994	2026-09-17T16:36:34Z	3.55	3.17	7.85
1789663004	2026-09-17T16:36:44Z	3.46	3.17	7.80
1789663014	2026-09-17T16:36:54Z	3.31	3.15	7.74
1789663024	2026-09-17T16:37:04Z	3.97	3.29	7.73
1789663034	2026-09-17T16:37:14Z	3.90	3.30	7.68
1789663044	2026-09-17T16:37:24Z	3.53	3.24	7.61
1789663054	2026-09-17T16:37:34Z	3.61	3.26	7.57
1789663064	2026-09-17T16:37:44Z	3.29	3.20	7.50
1789663074	2026-09-17T16:37:54Z	2.94	3.13	7.42
1789663084	2026-09-17T16:38:05Z	2.87	3.11	7.36
1789663095	2026-09-17T16:38:15Z	2.73	3.07	7.30
