epoch	utc	load1	load5	load15
1789662934	2026-09-17T16:35:34Z	0.77	1.10	1.13
1789662939	2026-09-17T16:35:39Z	0.71	1.08	1.13
1789662944	2026-09-17T16:35:44Z	1.05	1.15	1.15
1789662949	2026-09-17T16:35:49Z	1.53	1.25	1.18
1789662954	2026-09-17T16:35:54Z	1.73	1.29	1.19
1789662959	2026-09-17T16:35:59Z	1.91	1.34	1.21
1789662964	2026-09-17T16:36:04Z	1.92	1.35	1.21
1789662969	2026-09-17T16:36:09Z	2.08	1.39	1.23
1789662974	2026-09-17T16:36:14Z	2.00	1.39	1.23
1789662979	2026-09-17T16:36:19Z	2.16	1.43	1.24
1789662984	2026-09-17T16:36:24Z	2.47	1.51	1.27
1789662989	2026-09-17T16:36:29Z	2.59	1.55	1.28
1789662994	2026-09-17T16:36:34Z	2.70	1.59	1.30
1789662999	2026-09-17T16:36:39Z	2.57	1.58	1.30
1789663004	2026-09-17T16:36:44Z	2.44	1.57	1.29
1789663009	2026-09-17T16:36:49Z	2.32	1.56	1.29
1789663014	2026-09-17T16:36:54Z	2.14	1.53	1.29
1789663019	2026-09-17T16:36:59Z	2.13	1.54	1.29
1789663023	2026-09-17T16:37:03Z	1.96	1.51	1.28
1789663028	2026-09-17T16:37:08Z	1.80	1.49	1.27
1789663033	2026-09-17T16:37:13Z	1.82	1.50	1.28
1789663038	2026-09-17T16:37:18Z	1.67	1.47	1.27
1789663043	2026-09-17T16:37:23Z	1.78	1.50	1.28
1789663048	2026-09-17T16:37:28Z	1.88	1.52	1.29
1789663053	2026-09-17T16:37:33Z	1.89	1.53	1.29
1789663058	2026-09-17T16:37:38Z	1.73	1.51	1.29
1789663063	2026-09-17T16:37:43Z	1.60	1.48	1.28
1789663068	2026-09-17T16:37:48Z	1.47	1.46	1.27
1789663073	2026-09-17T16:37:53Z	1.43	1.45	1.27
1789663078	2026-09-17T16:37:58Z	1.39	1.44	1.27
1789663083	2026-09-17T16:38:03Z	1.28	1.42	1.26
1789663088	2026-09-17T16:38:08Z	1.34	1.43	1.27
1789663093	2026-09-17T16:38:13Z	1.31	1.42	1.27
1789663098	2026-09-17T16:38:18Z	1.29	1.41	1.26
