# tachyon-serverless lab transcript
# command:  scripts/lab/lab.sh --provider firecracker status
# started:  2026-09-17T16:43:27Z
# lab_dir:  /home/takanorifukuyama.guest/lab/.lab
# lab_id:   lab-6c6786c8
# host:     Linux 7.0.0-31-generic aarch64 user=takanorifukuyama
# git:      a56b259d4f2cdc0120dced1040a155691d4951cf
2026-09-17T16:43:28Z lab lab-6c6786c8  provider=firecracker  state=up  dir=/home/takanorifukuyama.guest/lab/.lab
2026-09-17T16:43:28Z 
2026-09-17T16:43:28Z STATUS COMPONENT              CHECK                                        DETAIL
2026-09-17T16:43:28Z ok    nats-server            process                                      pid 376675
2026-09-17T16:43:28Z ok    nats-server            GET /healthz?js-enabled-only=true            200 (JetStream enabled)
2026-09-17T16:43:28Z ok    gateway                process                                      pid 376703
2026-09-17T16:43:28Z ok    gateway                GET /healthz                                 200
2026-09-17T16:43:28Z ok    gateway                GET /readyz .ready                           true
2026-09-17T16:43:28Z ok    provider               readyz .preflight                            firecracker ok=true egress_network
2026-09-17T16:43:28Z ok    dispatcher             readyz .dispatcher.fenced                    false
2026-09-17T16:43:28Z ok    config-cache           readyz .control_plane.new_invocations        accepted config=fresh
2026-09-17T16:43:28Z ok    usage-journal          readyz .usage                                accepting=true journal_healthy=true collector_error=null
2026-09-17T16:43:28Z ok    budget                 readyz .budget                               accepting=true store_healthy=true stalled=false file_error=null
2026-09-17T16:43:28Z ok    ledger                 state.db schema_version = migrations         8/8
2026-09-17T16:43:28Z ok    queue                  tsls_async_queue_condition{healthy}          1
2026-09-17T16:43:28Z ok    trigger-scheduler      tsls_trigger_scheduler_owner                 1
2026-09-17T16:43:28Z ok    async-dispatcher       tsls_async_dispatch_runs_in_flight           0
2026-09-17T16:43:28Z ok    metrics                operator token 200, tenant token 401         401
2026-09-17T16:43:28Z ok    object-store           root exists, key 0600, backend filesystem    /home/takanorifukuyama.guest/lab/.lab/data/objects
2026-09-17T16:43:28Z skip  console                GET /console/                                not enabled (up --console)
# finished: 2026-09-17T16:43:28Z exit=0
