epoch	utc	load1	load5	load15
1789663165	2026-09-17T16:39:25Z	2.31	2.89	6.89
1789663175	2026-09-17T16:39:35Z	2.26	2.86	6.84
1789663185	2026-09-17T16:39:45Z	2.76	2.94	6.82
1789663195	2026-09-17T16:39:55Z	3.19	3.03	6.80
1789663205	2026-09-17T16:40:05Z	3.47	3.09	6.78
1789663215	2026-09-17T16:40:15Z	3.48	3.10	6.74
1789663225	2026-09-17T16:40:25Z	3.71	3.17	6.72
1789663235	2026-09-17T16:40:35Z	3.60	3.16	6.68
1789663245	2026-09-17T16:40:45Z	3.28	3.10	6.62
1789663255	2026-09-17T16:40:55Z	3.22	3.10	6.57
1789663265	2026-09-17T16:41:05Z	3.10	3.08	6.53
1789663275	2026-09-17T16:41:15Z	2.93	3.04	6.47
1789663285	2026-09-17T16:41:25Z	2.71	2.99	6.42
1789663295	2026-09-17T16:41:35Z	2.75	2.99	6.38
1789663305	2026-09-17T16:41:45Z	2.64	2.96	6.32
1789663315	2026-09-17T16:41:55Z	2.62	2.94	6.28
1789663325	2026-09-17T16:42:05Z	2.51	2.91	6.23
1789663335	2026-09-17T16:42:15Z	2.67	2.93	6.20
1789663345	2026-09-17T16:42:25Z	2.80	2.95	6.16
1789663355	2026-09-17T16:42:35Z	2.76	2.93	6.12
1789663365	2026-09-17T16:42:45Z	2.49	2.87	6.06
1789663375	2026-09-17T16:42:55Z	2.49	2.86	6.02
1789663385	2026-09-17T16:43:05Z	2.64	2.88	5.99
1789663395	2026-09-17T16:43:15Z	2.46	2.83	5.93
1789663405	2026-09-17T16:43:25Z	2.32	2.79	5.88
