epoch	utc	load1	load5	load15
1789663165	2026-09-17T16:39:25Z	0.43	1.13	1.18
1789663170	2026-09-17T16:39:30Z	0.40	1.11	1.17
1789663175	2026-09-17T16:39:35Z	0.69	1.16	1.18
1789663180	2026-09-17T16:39:40Z	0.95	1.21	1.20
1789663185	2026-09-17T16:39:45Z	1.20	1.26	1.21
1789663190	2026-09-17T16:39:50Z	1.42	1.30	1.23
1789663195	2026-09-17T16:39:55Z	1.63	1.35	1.25
1789663200	2026-09-17T16:40:00Z	1.58	1.34	1.24
1789663204	2026-09-17T16:40:04Z	1.53	1.33	1.24
1789663209	2026-09-17T16:40:09Z	1.73	1.38	1.26
1789663214	2026-09-17T16:40:14Z	1.99	1.44	1.28
1789663220	2026-09-17T16:40:20Z	2.15	1.48	1.29
1789663225	2026-09-17T16:40:25Z	2.30	1.52	1.31
1789663230	2026-09-17T16:40:30Z	2.20	1.52	1.31
1789663234	2026-09-17T16:40:34Z	2.10	1.51	1.30
1789663239	2026-09-17T16:40:39Z	1.93	1.48	1.30
1789663244	2026-09-17T16:40:44Z	1.94	1.49	1.30
1789663249	2026-09-17T16:40:49Z	1.78	1.47	1.29
1789663254	2026-09-17T16:40:54Z	1.64	1.44	1.29
1789663259	2026-09-17T16:40:59Z	1.67	1.45	1.29
1789663264	2026-09-17T16:41:04Z	1.53	1.43	1.28
1789663269	2026-09-17T16:41:09Z	1.41	1.40	1.27
1789663274	2026-09-17T16:41:14Z	1.38	1.40	1.27
1789663279	2026-09-17T16:41:19Z	1.35	1.39	1.27
1789663284	2026-09-17T16:41:24Z	1.40	1.40	1.28
1789663289	2026-09-17T16:41:29Z	1.37	1.39	1.27
1789663294	2026-09-17T16:41:34Z	1.34	1.39	1.27
1789663299	2026-09-17T16:41:39Z	1.23	1.36	1.26
1789663304	2026-09-17T16:41:44Z	1.29	1.37	1.27
1789663309	2026-09-17T16:41:49Z	1.27	1.37	1.27
1789663314	2026-09-17T16:41:54Z	1.17	1.34	1.26
1789663319	2026-09-17T16:41:59Z	1.07	1.32	1.25
1789663324	2026-09-17T16:42:04Z	0.99	1.30	1.25
1789663329	2026-09-17T16:42:09Z	0.91	1.28	1.24
1789663334	2026-09-17T16:42:14Z	0.92	1.27	1.24
1789663339	2026-09-17T16:42:19Z	1.00	1.28	1.24
1789663344	2026-09-17T16:42:24Z	1.08	1.30	1.25
1789663349	2026-09-17T16:42:29Z	1.08	1.29	1.25
1789663354	2026-09-17T16:42:34Z	0.99	1.27	1.24
1789663359	2026-09-17T16:42:39Z	1.07	1.28	1.24
1789663364	2026-09-17T16:42:44Z	0.98	1.26	1.24
1789663369	2026-09-17T16:42:49Z	0.91	1.24	1.23
1789663374	2026-09-17T16:42:54Z	0.99	1.25	1.23
1789663379	2026-09-17T16:42:59Z	1.23	1.30	1.25
1789663384	2026-09-17T16:43:04Z	1.30	1.31	1.25
1789663389	2026-09-17T16:43:09Z	1.35	1.32	1.26
1789663394	2026-09-17T16:43:14Z	1.24	1.30	1.25
1789663399	2026-09-17T16:43:19Z	1.14	1.28	1.24
1789663404	2026-09-17T16:43:24Z	1.05	1.26	1.24
