epoch	utc	load1	load5	load15
1789656837	2026-09-17T14:53:57Z	99.01	103.86	68.38
1789656847	2026-09-17T14:54:07Z	98.70	103.63	68.71
1789656857	2026-09-17T14:54:17Z	102.05	104.16	69.31
1789656867	2026-09-17T14:54:27Z	102.70	104.26	69.75
1789656877	2026-09-17T14:54:37Z	106.11	104.92	70.38
1789656887	2026-09-17T14:54:47Z	110.42	105.89	71.13
1789656897	2026-09-17T14:54:57Z	119.79	108.04	72.30
1789656907	2026-09-17T14:55:07Z	116.13	107.60	72.56
1789656917	2026-09-17T14:55:17Z	113.73	107.36	72.89
1789656927	2026-09-17T14:55:27Z	106.64	106.04	72.82
1789656937	2026-09-17T14:55:37Z	108.78	106.51	73.37
1789656947	2026-09-17T14:55:47Z	109.47	106.74	73.84
1789656957	2026-09-17T14:55:57Z	105.07	105.91	73.93
1789656967	2026-09-17T14:56:07Z	106.99	106.26	74.43
1789656977	2026-09-17T14:56:17Z	119.68	108.99	75.77
1789656987	2026-09-17T14:56:27Z	121.48	109.78	76.44
1789656997	2026-09-17T14:56:37Z	118.30	109.49	76.73
1789657007	2026-09-17T14:56:47Z	117.05	109.51	77.11
1789657017	2026-09-17T14:56:57Z	121.51	110.71	77.92
1789657027	2026-09-17T14:57:07Z	118.42	110.43	78.20
1789657037	2026-09-17T14:57:17Z	118.06	110.59	78.63
1789657048	2026-09-17T14:57:28Z	123.73	112.04	79.52
1789657058	2026-09-17T14:57:38Z	132.76	114.60	81.00
