epoch	utc	load1	load5	load15
1789656837	2026-09-17T14:53:57Z	0.07	0.72	0.47
1789656842	2026-09-17T14:54:02Z	0.14	0.72	0.48
1789656847	2026-09-17T14:54:07Z	0.21	0.73	0.48
1789656852	2026-09-17T14:54:12Z	0.20	0.72	0.48
1789656857	2026-09-17T14:54:17Z	0.18	0.70	0.47
1789656862	2026-09-17T14:54:22Z	0.17	0.69	0.47
1789656867	2026-09-17T14:54:27Z	0.15	0.68	0.47
1789656872	2026-09-17T14:54:32Z	0.14	0.67	0.46
1789656877	2026-09-17T14:54:37Z	0.13	0.66	0.46
1789656882	2026-09-17T14:54:42Z	0.12	0.65	0.46
1789656887	2026-09-17T14:54:47Z	0.11	0.64	0.46
1789656892	2026-09-17T14:54:52Z	0.10	0.62	0.45
1789656897	2026-09-17T14:54:57Z	0.09	0.61	0.45
1789656902	2026-09-17T14:55:02Z	0.08	0.60	0.45
1789656907	2026-09-17T14:55:07Z	0.08	0.59	0.45
1789656912	2026-09-17T14:55:12Z	0.15	0.60	0.45
1789656917	2026-09-17T14:55:17Z	0.14	0.59	0.45
1789656922	2026-09-17T14:55:22Z	0.13	0.58	0.44
1789656927	2026-09-17T14:55:27Z	0.12	0.57	0.44
1789656932	2026-09-17T14:55:32Z	0.11	0.56	0.44
1789656937	2026-09-17T14:55:37Z	0.26	0.58	0.45
1789656942	2026-09-17T14:55:42Z	0.32	0.59	0.45
1789656947	2026-09-17T14:55:47Z	0.37	0.60	0.45
1789656952	2026-09-17T14:55:52Z	0.50	0.62	0.46
1789656957	2026-09-17T14:55:57Z	0.46	0.61	0.46
1789656962	2026-09-17T14:56:02Z	0.43	0.60	0.46
1789656967	2026-09-17T14:56:07Z	0.39	0.59	0.45
1789656972	2026-09-17T14:56:12Z	0.36	0.58	0.45
1789656977	2026-09-17T14:56:17Z	0.33	0.57	0.45
1789656982	2026-09-17T14:56:22Z	0.46	0.59	0.46
1789656987	2026-09-17T14:56:27Z	0.59	0.62	0.47
1789656992	2026-09-17T14:56:32Z	0.62	0.62	0.47
1789656997	2026-09-17T14:56:37Z	0.65	0.63	0.47
1789657002	2026-09-17T14:56:42Z	0.76	0.65	0.48
1789657007	2026-09-17T14:56:47Z	0.78	0.66	0.48
1789657012	2026-09-17T14:56:52Z	0.80	0.67	0.49
1789657017	2026-09-17T14:56:57Z	0.81	0.67	0.49
1789657022	2026-09-17T14:57:02Z	0.83	0.68	0.49
1789657027	2026-09-17T14:57:07Z	0.92	0.70	0.50
1789657032	2026-09-17T14:57:12Z	0.93	0.70	0.50
1789657037	2026-09-17T14:57:17Z	0.85	0.69	0.50
1789657042	2026-09-17T14:57:22Z	0.79	0.68	0.50
1789657047	2026-09-17T14:57:27Z	0.72	0.67	0.49
1789657052	2026-09-17T14:57:32Z	0.75	0.68	0.50
1789657057	2026-09-17T14:57:37Z	0.77	0.68	0.50
