t(s)    up  start busy idle queue  provisioned
   0.0  yes     0    0    0     0  
   0.3  yes     0    0    0     0  
   0.5  yes     0    0    0     0  
   0.8  yes     0    0    0     0  
   1.0  yes     0    0    0     0  
   1.3  yes     1    0    0     0  #
   1.5  yes     1    0    0     0  #
   1.8  yes     1    0    0     0  #
   2.0  yes     1    0    0     0  #
   2.3  yes     1    0    0     0  #
   2.5  yes     1    0    0     0  #
   2.8  yes     1    0    0     0  #
   3.0  yes     1    0    0     0  #
   3.3  yes     1    0    0     0  #
   3.6  yes     1    0    0     0  #
   3.8  yes     1    0    0     0  #
   4.1  yes     1    0    0     0  #
   4.3  yes     1    0    0     0  #
   4.6  yes     1    0    0     0  #
   4.8  yes     1    0    0     0  #
   5.1  yes     1    0    0     0  #
   5.3  yes     1    0    0     0  #
   5.6  yes     1    0    0     0  #
   5.8  yes     1    0    0     0  #
   6.1  yes     1    0    0     0  #
   6.3  yes     1    0    0     0  #
   6.4  yes     1    0    0     0  #
   6.7  yes     1    0    0     0  #
   6.9  yes     0    1    0     0  #
   7.2  yes     0    0    1     0  #
   7.4  yes     0    1    0     0  #
   7.7  yes     0    0    1     0  #
   7.9  yes     0    1    0     0  #
   8.2  yes     0    1    0     0  #
   8.4  yes     1    1    0     0  ##
   8.7  yes     1    1    0     0  ##
   8.9  yes     1    1    0     0  ##
   9.2  yes     1    1    0     0  ##
   9.4  yes     1    1    0     0  ##
   9.7  yes     1    0    1     0  ##
   9.9  yes     1    1    0     0  ##
  10.2  yes     1    1    0     0  ##
  10.4  yes     1    1    0     0  ##
  10.7  yes     1    0    1     0  ##
  10.9  yes     1    0    1     0  ##
  11.2  yes     1    0    1     0  ##
  11.4  yes     1    0    1     0  ##
  11.7  yes     1    0    1     0  ##
  11.9  yes     1    0    1     0  ##
  12.2  yes     1    0    1     0  ##
  12.5  yes     1    0    1     0  ##
  12.7  yes     1    0    1     0  ##
  13.0  yes     1    0    0     0  #
  13.2  yes     1    0    0     0  #
  13.5  yes     1    0    0     0  #
  13.7  yes     1    0    0     0  #
  14.0  yes     1    0    0     0  #
  14.2  yes     0    1    0     0  #
  14.5  yes     0    1    0     0  #
  14.7  yes     2    1    0     5  ###~~~~~
  15.0  yes     2    1    0     5  ###~~~~~
  15.2  yes     2    1    0     5  ###~~~~~
  15.5  yes     2    1    0     5  ###~~~~~
  15.7  yes     2    1    0     5  ###~~~~~
  16.0  yes     2    1    0     5  ###~~~~~
  16.2  yes     2    1    0     5  ###~~~~~
  16.5  yes     2    1    0     5  ###~~~~~
  16.7  yes     2    1    0     5  ###~~~~~
  17.0  yes     2    1    0     5  ###~~~~~
  17.2  yes     2    1    0     5  ###~~~~~
  17.5  yes     2    1    0     5  ###~~~~~
  17.7  yes     2    1    0     5  ###~~~~~
  18.0  yes     2    1    0     5  ###~~~~~
  18.2  yes     2    1    0     5  ###~~~~~
  18.5  yes     2    1    0     5  ###~~~~~
  18.7  yes     2    1    0     5  ###~~~~~
  19.0  yes     2    1    1     4  ####~~~~
  19.2  yes     2    1    0     5  ###~~~~~
  19.5  yes     2    1    0     5  ###~~~~~
  19.7  yes     2    1    0     5  ###~~~~~
  20.0  yes     0    3    0     5  ###~~~~~
  20.2  yes     0    3    0     5  ###~~~~~
  20.5  yes     0    3    0     5  ###~~~~~
  20.7  yes     0    3    0     5  ###~~~~~
  21.0  yes     0    3    0     5  ###~~~~~
  21.2  yes     0    3    0     5  ###~~~~~
  21.5  yes     0    3    0     5  ###~~~~~
  21.7  yes     0    3    0     5  ###~~~~~
  22.0  yes     0    3    0     5  ###~~~~~
  22.2  yes     0    3    0     3  ###~~~
  22.5  yes     0    3    0     2  ###~~
  22.7  yes     0    3    0     0  ###
  23.0  yes     0    3    0     0  ###
  23.2  yes     0    1    2     0  ###
  23.5  yes     0    1    2     0  ###
  23.7  yes     0    1    2     0  ###
  24.0  yes     0    1    2     0  ###
  24.2  yes     0    1    2     0  ###
  24.5  yes     0    1    2     0  ###
  24.7  yes     0    1    2     0  ###
  25.0  yes     0    0    3     0  ###
  25.2  yes     0    0    3     0  ###
  25.5  yes     0    0    1     0  #
  25.7  yes     0    0    1     0  #
  26.0  yes     0    0    1     0  #
  26.2  yes     0    0    1     0  #
  26.5  yes     0    0    1     0  #
  26.7  yes     0    0    1     0  #
  27.0  yes     0    0    0     0  
  27.2  yes     0    0    0     0  
  27.5  yes     0    0    0     0  
  27.7  yes     0    0    0     0  
  28.0  yes     0    0    0     0  
# = provisioned environment, ~ = queued invocation
