t(s)    up  start busy idle queue  provisioned
   0.0  yes     0    0    0     0  
   0.3  yes     0    0    0     0  
   0.5  yes     0    0    0     0  
   0.8  yes     0    0    0     0  
   1.0  yes     0    0    0     0  
   1.3  yes     4    0    0     4  ####~~~~
   1.5  yes     4    0    0     4  ####~~~~
   1.8  yes     4    0    0     4  ####~~~~
   2.0  yes     4    0    0     4  ####~~~~
   2.3  yes     4    0    0     4  ####~~~~
   2.5  yes     4    0    0     4  ####~~~~
   2.8  yes     4    0    0     4  ####~~~~
   3.0  yes     4    0    0     4  ####~~~~
   3.3  yes     4    0    0     4  ####~~~~
   3.5  yes     4    0    0     4  ####~~~~
   3.8  yes     4    0    0     4  ####~~~~
   4.0  yes     4    0    0     4  ####~~~~
   4.3  yes     4    0    0     4  ####~~~~
   4.5  yes     4    0    0     4  ####~~~~
   4.8  yes     4    0    0     4  ####~~~~
   5.0  yes     4    0    0     4  ####~~~~
   5.3  yes     4    0    0     4  ####~~~~
   5.5  yes     4    0    0     4  ####~~~~
   5.8  yes     4    0    0     4  ####~~~~
   6.0  yes     4    0    0     4  ####~~~~
   6.3  yes     4    0    0     4  ####~~~~
   6.5  yes     4    0    0     4  ####~~~~
   6.8  yes     4    0    0     4  ####~~~~
   7.0  yes     4    0    0     4  ####~~~~
   7.3  yes     4    0    0     4  ####~~~~
   7.5  yes     4    0    0     4  ####~~~~
   7.8  yes     4    0    0     4  ####~~~~
   8.0  yes     4    0    0     4  ####~~~~
   8.3  yes     4    0    0     4  ####~~~~
   8.5  yes     4    0    0     4  ####~~~~
   8.8  yes     4    0    0     4  ####~~~~
   9.0  yes     4    0    0     4  ####~~~~
   9.3  yes     4    0    0     4  ####~~~~
   9.5  yes     3    1    0     4  ####~~~~
   9.8  yes     4    0    1     4  #####~~~~
  10.0  yes     4    0    1     4  #####~~~~
  10.3  yes     1    3    1     4  #####~~~~
  10.5  yes     1    3    1     4  #####~~~~
  10.8  yes     1    3    1     3  #####~~~
  11.0  yes     1    3    1     3  #####~~~
  11.3  yes     1    3    1     4  #####~~~~
  11.5  yes     1    3    1     3  #####~~~
  11.8  yes     1    3    1     3  #####~~~
  12.0  yes     1    3    1     4  #####~~~~
  12.3  yes     1    2    2     3  #####~~~
  12.5  yes     1    3    1     4  #####~~~~
  12.8  yes     1    3    1     3  #####~~~
  13.0  yes     1    3    1     4  #####~~~~
  13.3  yes     1    3    1     3  #####~~~
  13.5  yes     1    3    1     4  #####~~~~
  13.8  yes     1    3    1     4  #####~~~~
  14.0  yes     1    3    1     3  #####~~~
  14.3  yes     1    3    1     4  #####~~~~
  14.5  yes     1    3    2     3  ######~~~
  14.8  yes     1    3    1     4  #####~~~~
  15.0  yes     1    3    1     4  #####~~~~
  15.3  yes     0    4    1     3  #####~~~
  15.5  yes     0    4    1     3  #####~~~
  15.8  yes     0    3    2     3  #####~~~
  16.0  yes     0    3    2     3  #####~~~
  16.3  yes     0    3    2     3  #####~~~
  16.5  yes     0    3    2     3  #####~~~
  16.8  yes     0    3    2     2  #####~~
  17.0  yes     0    3    2     3  #####~~~
  17.3  yes     0    3    2     3  #####~~~
  17.5  yes     0    3    1     2  ####~~
  17.8  yes     0    3    1     2  ####~~
  18.0  yes     0    3    0     2  ###~~
  18.3  yes     0    3    0     2  ###~~
  18.5  yes     0    3    0     2  ###~~
  18.8  yes     0    3    0     2  ###~~
  19.0  yes     0    3    0     0  ###
  19.3  yes     0    3    0     0  ###
  19.5  yes     0    2    1     0  ###
  19.8  yes     0    2    1     0  ###
  20.0  yes     0    2    1     0  ###
  20.3  yes     0    2    1     0  ###
  20.5  yes     0    2    1     0  ###
  20.8  yes     0    2    1     0  ###
  21.0  yes     0    1    2     0  ###
  21.3  yes     0    0    3     0  ###
  21.5  yes     0    0    3     0  ###
  21.8  yes     0    0    3     0  ###
  22.0  yes     0    0    2     0  ##
  22.3  yes     0    0    2     0  ##
  22.6  yes     0    0    2     0  ##
  22.8  yes     0    0    2     0  ##
  23.1  yes     0    0    2     0  ##
  23.3  yes     0    0    2     0  ##
  23.6  yes     0    0    0     0  #
  23.8  yes     0    0    0     0  
  23.9  yes     0    0    0     0  
  24.2  yes     0    0    0     0  
  24.4  yes     0    0    0     0  
# = provisioned environment, ~ = queued invocation
checks: {"all_succeeded":true,"cap":true,"no_findings":true,"queue":true,"rose":true,"two_tenants_served":true,"warm_reuse":true,"zero_after":true}  detector findings: 0  ok: true
