epoch	utc	load1	load5	load15
1789657369	2026-09-17T15:02:49Z	34.11	86.80	80.90
1789657379	2026-09-17T15:02:59Z	29.72	84.12	80.02
1789657389	2026-09-17T15:03:09Z	26.38	81.61	79.17
1789657399	2026-09-17T15:03:19Z	23.57	79.19	78.34
1789657409	2026-09-17T15:03:29Z	21.02	76.81	77.51
1789657419	2026-09-17T15:03:39Z	22.46	75.27	76.95
1789657429	2026-09-17T15:03:49Z	21.50	73.33	76.25
1789657439	2026-09-17T15:03:59Z	19.51	71.20	75.45
1789657449	2026-09-17T15:04:09Z	18.10	69.20	74.69
1789657459	2026-09-17T15:04:19Z	16.52	67.18	73.91
1789657469	2026-09-17T15:04:29Z	14.74	65.13	73.11
1789657479	2026-09-17T15:04:39Z	13.10	63.12	72.30
1789657489	2026-09-17T15:04:49Z	16.08	62.10	71.83
1789657499	2026-09-17T15:04:59Z	22.01	61.83	71.62
1789657509	2026-09-17T15:05:09Z	22.96	60.73	71.12
1789657519	2026-09-17T15:05:19Z	26.66	60.28	70.83
1789657529	2026-09-17T15:05:29Z	27.80	59.43	70.41
1789657539	2026-09-17T15:05:39Z	24.93	57.77	69.69
1789657549	2026-09-17T15:05:49Z	23.79	56.46	69.09
1789657559	2026-09-17T15:05:59Z	20.75	54.73	68.32
1789657569	2026-09-17T15:06:09Z	18.10	53.04	67.57
1789657579	2026-09-17T15:06:19Z	16.00	51.44	66.83
