epoch	utc	load1	load5	load15
1789657362	2026-09-17T15:02:42Z	0.16	0.35	0.40
1789657367	2026-09-17T15:02:47Z	0.23	0.36	0.40
1789657372	2026-09-17T15:02:52Z	0.21	0.36	0.40
1789657376	2026-09-17T15:02:56Z	0.36	0.38	0.41
1789657381	2026-09-17T15:03:01Z	0.41	0.39	0.41
1789657386	2026-09-17T15:03:06Z	0.62	0.44	0.43
1789657391	2026-09-17T15:03:11Z	0.73	0.46	0.44
1789657396	2026-09-17T15:03:16Z	0.67	0.46	0.43
1789657401	2026-09-17T15:03:21Z	0.70	0.46	0.44
1789657406	2026-09-17T15:03:26Z	0.64	0.46	0.44
1789657411	2026-09-17T15:03:31Z	0.59	0.45	0.43
1789657416	2026-09-17T15:03:36Z	0.54	0.44	0.43
1789657421	2026-09-17T15:03:41Z	0.58	0.45	0.43
1789657426	2026-09-17T15:03:46Z	0.61	0.46	0.44
1789657431	2026-09-17T15:03:51Z	0.72	0.49	0.45
1789657436	2026-09-17T15:03:56Z	0.83	0.51	0.46
1789657441	2026-09-17T15:04:01Z	0.84	0.52	0.46
1789657446	2026-09-17T15:04:06Z	1.09	0.58	0.48
1789657451	2026-09-17T15:04:11Z	1.25	0.62	0.49
1789657456	2026-09-17T15:04:16Z	1.31	0.64	0.50
1789657461	2026-09-17T15:04:21Z	1.36	0.66	0.51
1789657466	2026-09-17T15:04:26Z	1.25	0.65	0.50
1789657471	2026-09-17T15:04:31Z	1.23	0.66	0.51
1789657476	2026-09-17T15:04:36Z	1.13	0.65	0.50
1789657481	2026-09-17T15:04:41Z	1.04	0.64	0.50
1789657486	2026-09-17T15:04:46Z	0.96	0.63	0.50
1789657491	2026-09-17T15:04:51Z	0.96	0.63	0.50
1789657496	2026-09-17T15:04:56Z	1.05	0.65	0.51
1789657501	2026-09-17T15:05:01Z	1.12	0.68	0.52
1789657506	2026-09-17T15:05:06Z	1.19	0.70	0.53
1789657511	2026-09-17T15:05:11Z	1.18	0.70	0.53
1789657516	2026-09-17T15:05:16Z	1.16	0.71	0.53
1789657521	2026-09-17T15:05:21Z	1.07	0.70	0.53
1789657526	2026-09-17T15:05:26Z	1.06	0.70	0.53
1789657531	2026-09-17T15:05:31Z	1.14	0.72	0.54
1789657536	2026-09-17T15:05:36Z	1.37	0.78	0.56
1789657541	2026-09-17T15:05:41Z	1.50	0.82	0.57
1789657546	2026-09-17T15:05:46Z	1.94	0.92	0.61
1789657551	2026-09-17T15:05:51Z	2.10	0.97	0.63
1789657556	2026-09-17T15:05:56Z	2.18	1.00	0.64
1789657561	2026-09-17T15:06:01Z	2.08	1.00	0.64
1789657566	2026-09-17T15:06:06Z	1.92	0.99	0.64
1789657571	2026-09-17T15:06:11Z	2.00	1.02	0.65
1789657576	2026-09-17T15:06:16Z	2.08	1.05	0.66
1789657581	2026-09-17T15:06:21Z	2.00	1.05	0.66
