epoch	utc	load1	load5	load15
1789658171	2026-09-17T15:16:11Z	21.51	19.41	39.76
1789658181	2026-09-17T15:16:21Z	27.74	20.79	40.01
1789658191	2026-09-17T15:16:31Z	30.92	21.73	40.12
1789658201	2026-09-17T15:16:41Z	32.64	22.40	40.14
1789658211	2026-09-17T15:16:51Z	34.45	23.11	40.19
1789658221	2026-09-17T15:17:01Z	36.64	23.95	40.28
1789658231	2026-09-17T15:17:11Z	41.91	25.48	40.64
1789658241	2026-09-17T15:17:21Z	44.18	26.49	40.82
1789658251	2026-09-17T15:17:31Z	50.18	28.39	41.32
1789658261	2026-09-17T15:17:41Z	51.36	29.38	41.52
1789658271	2026-09-17T15:17:51Z	50.28	29.90	41.57
1789658281	2026-09-17T15:18:01Z	45.30	29.51	41.29
1789658291	2026-09-17T15:18:11Z	41.25	29.16	41.03
1789658301	2026-09-17T15:18:21Z	38.03	28.87	40.79
