epoch	utc	load1	load5	load15
1789658163	2026-09-17T15:16:03Z	0.32	0.56	0.58
1789658168	2026-09-17T15:16:08Z	0.37	0.57	0.59
1789658173	2026-09-17T15:16:13Z	0.42	0.58	0.59
1789658178	2026-09-17T15:16:18Z	0.39	0.57	0.59
1789658183	2026-09-17T15:16:23Z	0.36	0.56	0.58
1789658188	2026-09-17T15:16:28Z	0.33	0.55	0.58
1789658193	2026-09-17T15:16:33Z	0.30	0.54	0.58
1789658198	2026-09-17T15:16:38Z	0.28	0.53	0.57
1789658203	2026-09-17T15:16:43Z	0.34	0.54	0.57
1789658208	2026-09-17T15:16:48Z	0.31	0.53	0.57
1789658213	2026-09-17T15:16:53Z	0.28	0.52	0.57
1789658218	2026-09-17T15:16:58Z	0.26	0.51	0.56
1789658223	2026-09-17T15:17:03Z	0.24	0.50	0.56
1789658228	2026-09-17T15:17:08Z	0.22	0.49	0.56
1789658233	2026-09-17T15:17:13Z	0.28	0.50	0.56
1789658238	2026-09-17T15:17:18Z	0.34	0.51	0.56
1789658243	2026-09-17T15:17:23Z	0.39	0.52	0.56
1789658248	2026-09-17T15:17:28Z	0.52	0.54	0.57
1789658253	2026-09-17T15:17:33Z	0.48	0.53	0.57
1789658258	2026-09-17T15:17:38Z	0.44	0.52	0.57
1789658263	2026-09-17T15:17:43Z	0.49	0.53	0.57
1789658268	2026-09-17T15:17:48Z	0.45	0.52	0.56
1789658273	2026-09-17T15:17:53Z	0.49	0.53	0.57
1789658278	2026-09-17T15:17:58Z	0.53	0.54	0.57
1789658283	2026-09-17T15:18:03Z	0.65	0.56	0.58
1789658288	2026-09-17T15:18:08Z	0.76	0.59	0.58
1789658293	2026-09-17T15:18:13Z	0.86	0.61	0.59
1789658298	2026-09-17T15:18:18Z	0.79	0.60	0.59
1789658303	2026-09-17T15:18:23Z	0.81	0.61	0.59
