epoch	utc	load1	load5	load15
1789658029	2026-09-17T15:13:49Z	0.53	0.60	0.59
1789658034	2026-09-17T15:13:54Z	0.57	0.61	0.59
1789658039	2026-09-17T15:13:59Z	0.68	0.63	0.60
1789658044	2026-09-17T15:14:04Z	0.79	0.66	0.61
1789658049	2026-09-17T15:14:09Z	0.89	0.68	0.62
1789658054	2026-09-17T15:14:14Z	0.98	0.70	0.62
1789658059	2026-09-17T15:14:19Z	0.90	0.69	0.62
1789658064	2026-09-17T15:14:24Z	0.83	0.68	0.62
1789658069	2026-09-17T15:14:29Z	0.76	0.67	0.61
1789658074	2026-09-17T15:14:34Z	0.70	0.65	0.61
1789658079	2026-09-17T15:14:39Z	0.80	0.68	0.62
1789658084	2026-09-17T15:14:44Z	0.90	0.70	0.63
