epoch	utc	load1	load5	load15
1789657970	2026-09-17T15:12:50Z	0.31	0.61	0.59
1789657975	2026-09-17T15:12:55Z	0.28	0.60	0.59
1789657980	2026-09-17T15:13:00Z	0.26	0.59	0.59
1789657985	2026-09-17T15:13:05Z	0.24	0.58	0.58
1789657990	2026-09-17T15:13:10Z	0.22	0.57	0.58
1789657995	2026-09-17T15:13:15Z	0.20	0.56	0.58
1789658000	2026-09-17T15:13:20Z	0.19	0.55	0.57
1789658005	2026-09-17T15:13:25Z	0.25	0.56	0.58
1789658010	2026-09-17T15:13:30Z	0.31	0.57	0.58
1789658015	2026-09-17T15:13:35Z	0.45	0.59	0.59
1789658020	2026-09-17T15:13:40Z	0.49	0.60	0.59
1789658025	2026-09-17T15:13:45Z	0.53	0.60	0.59
