$ bash run-clocks.sh.txt     (Lima VM tsls-kvm, 2026-09-17T07:09Z; macOS 1-min load average ~9)
curl 8.18.0 (aarch64-unknown-linux-gnu) libcurl/8.18.0 OpenSSL/3.5.5 zlib/1.3.1 brotli/1.2.0 zstd/1.5.7 libidn2/2.3.8 libpsl/0.21.2 libssh2/1.11.1 nghttp2/1.68.0 librtmp/2.3 mit-krb5/1.22.1 OpenLDAP/2.6.10
7.0.0-31-generic
CanNTP=yes
NTP=yes
NTPSynchronized=no
inactive
active
active
arch_sys_counter
   t(s)  mono-raw drift(ms)  realtime-mono drift(ms)  ppm(mono vs raw)
    5.0               23.32                    0.00          4680
   10.0               46.62                 -141.47          4678
   15.0               69.95                 -141.49          4680
   20.0               93.26                 -141.49          4680
   25.0              116.58                 -141.49          4680
   30.0              139.87                 -141.49          4680
   35.0              163.16                 -141.49          4680
   40.0              186.46                 -282.18          4680
   45.0              209.78                 -282.18          4680
   50.0              233.10                 -282.17          4680
   55.0              256.43                 -282.18          4680
   60.0              279.75                 -282.18          4681
