t(s)    up  start busy idle queue  provisioned
   0.0  yes     0    0    0     0  
   0.3  yes     0    0    0     0  
   0.5  yes     0    0    0     0  
   0.8  yes     0    0    0     0  
   1.0  yes     0    0    0     0  
   1.3  yes     4    0    0     0  ####
   1.5  yes     4    0    0     4  ####~~~~
   1.8  yes     4    0    0     4  ####~~~~
   2.0  yes     0    4    0     4  ####~~~~
   2.3  yes     1    3    0     4  ####~~~~
   2.5  yes     2    2    0     4  ####~~~~
   2.8  yes     2    2    0     4  ####~~~~
   3.0  yes     0    4    0     4  ####~~~~
   3.3  yes     1    3    0     3  ####~~~
   3.5  yes     1    3    0     3  ####~~~
   3.8  yes     1    3    0     4  ####~~~~
   4.0  yes     0    4    0     4  ####~~~~
   4.3  yes     2    2    0     4  ####~~~~
   4.5  yes     3    1    0     3  ####~~~
   4.8  yes     2    2    0     4  ####~~~~
   5.0  yes     3    1    0     3  ####~~~
   5.3  yes     2    2    0     4  ####~~~~
   5.5  yes     2    2    0     4  ####~~~~
   5.8  yes     0    4    0     4  ####~~~~
   6.0  yes     0    4    0     4  ####~~~~
   6.3  yes     1    3    0     4  ####~~~~
   6.5  yes     1    3    0     4  ####~~~~
   6.8  yes     1    3    0     4  ####~~~~
   7.0  yes     1    3    0     3  ####~~~
   7.3  yes     3    1    0     2  ####~~
   7.5  yes     3    1    0     4  ####~~~~
   7.8  yes     3    1    0     4  ####~~~~
   8.0  yes     4    0    0     3  ####~~~
   8.3  yes     3    1    0     4  ####~~~~
   8.5  yes     2    2    0     3  ####~~~
   8.8  yes     2    2    0     3  ####~~~
   9.0  yes     2    2    0     4  ####~~~~
   9.3  yes     1    3    0     4  ####~~~~
   9.5  yes     2    2    0     3  ####~~~
   9.8  yes     1    3    0     3  ####~~~
  10.0  yes     1    3    0     4  ####~~~~
  10.3  yes     1    3    0     4  ####~~~~
  10.5  yes     1    3    0     3  ####~~~
  10.8  yes     3    1    0     1  ####~
  11.0  yes     3    1    0     2  ####~~
  11.3  yes     3    1    0     2  ####~~
  11.5  yes     1    3    0     2  ####~~
  11.8  yes     2    2    0     0  ####
  12.0  yes     2    2    0     1  ####~
  12.3  yes     2    2    0     1  ####~
  12.5  yes     2    2    0     1  ####~
  12.8  yes     1    3    0     1  ####~
  13.0  yes     1    3    0     1  ####~
  13.3  yes     1    3    0     1  ####~
  13.5  yes     1    3    0     1  ####~
  13.8  yes     2    2    0     0  ####
  14.0  yes     1    2    0     0  ###
  14.3  yes     1    1    0     0  ##
  14.5  yes     1    2    0     0  ###
  14.8  yes     2    1    0     0  ###
  15.0  yes     2    0    0     0  ##
  15.3  yes     1    1    0     0  ##
  15.5  yes     0    2    0     0  ##
  15.8  yes     0    1    0     0  #
  16.0  yes     0    0    0     0  
  16.3  yes     0    0    0     0  
  16.5  yes     0    0    0     0  
  16.8  yes     0    0    0     0  
# = provisioned environment, ~ = queued invocation
