scenario	result	metric_ms	detail
cold-1	PASS	3092	InstanceStart request -> Ready (cold boot incl. bootstrap)
cold-2	PASS	2713	InstanceStart request -> Ready (cold boot incl. bootstrap)
cold-3	PASS	2858	InstanceStart request -> Ready (cold boot incl. bootstrap)
source-boot-to-checkpoint	INFO	2759	InstanceStart request -> x1_waiting
snapshot-create	PASS	296	PUT /snapshot/create Full (paused, 256 MiB)
snapshot-disk-copy	INFO	2	scratch drive copied while paused (64 MiB sparse)
source-resume-vsock-reset	FAIL		no x1_reconnect from the resumed source
clone-a-load-call	INFO	16	PUT /snapshot/load HTTP 204
clone-b-load-call	INFO	17	PUT /snapshot/load HTTP 204
clone-a	PASS	4084	load request -> Ready; boot_id same as source; restored=true; own scratch marker
clone-b	PASS	4061	load request -> Ready; boot_id same as source; restored=true; own scratch marker
clones-disk-isolation	PASS		each clone wrote only its own scratch copy; snapshot files unchanged
restore-1-load-call	INFO	19	PUT /snapshot/load HTTP 204
restore-1	PASS	4256	load request -> Ready; boot_id same as source; restored=true; own scratch marker
restore-2-load-call	INFO	27	PUT /snapshot/load HTTP 204
restore-2	PASS	4013	load request -> Ready; boot_id same as source; restored=true; own scratch marker
restore-3-load-call	INFO	10	PUT /snapshot/load HTTP 204 (vsock_override)
restore-3	PASS	4050	load request -> Ready; boot_id same as source; restored=true; own scratch marker
neg-missing-drive	PASS		HTTP 400: {"fault_message":"Load snapshot error: Failed to restore from snapshot: Failed to build microVM from snapshot: Failed to restore devices: Error restoring MMIO devices: Block: Virtio backend error: Error manipulating the backing file: No such file or directory (os error 2) scratch.ext4"}
bridge-snapshot-create	INFO	336	product bridge after Ready: HTTP 204
bridge-restore	PASS		load HTTP 204; host connections after restore: 0; firecracker exited after 4989 ms (rc 0); console: [2m2026-09-17T08:11:20.311310Z[0m [31mERROR[0m host connection lost; killing user process [3mreason[0m[2m=[0mframe writer stopped
